基金代码,基金简称,基金类型,成立时间,最新规模,评级机构,基金评级
000077,工银信用纯债一年定开债C,债券型-长债,2013-05-22,4099.65万,,暂无评级
000078,工银信用纯债三个月定开债A,债券型-长债,2013-06-24,26.07亿,,暂无评级
000079,工银信用纯债三个月定开债C,债券型-长债,2013-06-24,879.81万,,暂无评级
000080,天治可转债增强债券A,债券型-混合二级,2013-06-04,1633.95万,,暂无评级
000081,天治可转债增强债券C,债券型-混合二级,2013-06-04,4222.95万,,暂无评级
000082,嘉实研究阿尔法股票A,股票型,2013-05-28,6.45亿,,暂无评级
000083,汇添富消费行业混合,混合型-偏股,2013-05-03,133.78亿,,暂无评级
000084,博时安盈债券A,债券型-中短债,2013-04-23,33.95亿,,暂无评级
000085,博时安盈债券C,债券型-中短债,2013-04-23,16.19亿,,暂无评级
000086,南方稳利1年持有期债券A,债券型-长债,2013-07-23,15.69亿,,暂无评级
000089,民生加银高等级信用债C,债券型-中短债,2013-04-25,6.09亿,,暂无评级
000090,民生加银高等级信用债A,债券型-中短债,2013-04-25,3.22亿,,暂无评级
000103,国泰中国企业境外高收益债,QDII-纯债,2013-04-26,1.02亿,,暂无评级
000104,华宸未来稳健添利债券A,债券型-混合一级,2013-08-20,9848.29万,,暂无评级
000105,建信安心回报债券A,债券型-长债,2013-05-14,19.82亿,,暂无评级
000106,建信安心回报债券C,债券型-长债,2013-05-14,1509.80万,,暂无评级
000107,富国稳健增强债券A/B,债券型-混合二级,2013-05-21,42.21亿,,暂无评级
000108,富国稳健增强债券A/B(后端),债券型-混合二级,,,,
000109,富国稳健增强债券C,债券型-混合二级,2013-05-21,8.61亿,,暂无评级
000110,金鹰元安混合A,混合型-偏债,2013-05-20,1509.18万,,暂无评级
000111,易方达纯债1年定开债A,债券型-长债,2013-07-30,19.35亿,,暂无评级
000112,易方达纯债1年定开债C,债券型-长债,2013-07-30,777.74万,,暂无评级
000116,嘉实丰益纯债定期债券A,债券型-长债,2013-05-21,10.09亿,,暂无评级
000117,广发轮动配置混合,混合型-偏股,2013-05-28,2.93亿,,暂无评级
000118,广发聚鑫债券A,债券型-混合二级,2013-06-05,69.94亿,,暂无评级
000119,广发聚鑫债券C,债券型-混合二级,2013-06-05,6.97亿,,暂无评级
000120,中银美丽中国混合,混合型-偏股,2013-06-07,3802.36万,,暂无评级
000121,华夏永福混合A,混合型-偏债,2013-08-13,9.28亿,,暂无评级
000122,汇添富实业债债券A,债券型-混合一级,2013-06-14,22.82亿,,暂无评级
000123,汇添富实业债债券C,债券型-混合一级,2013-06-14,1.27亿,,暂无评级
000124,华宝服务优选混合,混合型-偏股,2013-06-27,5.98亿,,暂无评级
000126,招商安润灵活配置混合A,混合型-灵活,2013-04-19,4.09亿,,暂无评级
000127,农银行业领先混合,混合型-偏股,2013-06-25,8.34亿,,暂无评级
000128,大成景安短融债券A,债券型-中短债,2013-05-24,5.07亿,,暂无评级
000129,大成景安短融债券B,债券型-中短债,2013-05-24,9.03亿,,暂无评级
000130,大成景兴信用债债券A,债券型-混合一级,2013-06-04,8903.37万,,暂无评级
000131,大成景兴信用债债券C,债券型-混合一级,2013-06-04,6946.61万,,暂无评级
000134,中信保诚嘉鸿债券A,债券型-长债,2017-05-25,77.80亿,,暂无评级
000135,中信保诚嘉鸿债券C,债券型-长债,2017-05-25,0万,,暂无评级
000136,民生加银策略精选混合A,混合型-灵活,2013-06-07,15.41亿,,暂无评级
000137,民生加银岁岁增利债券A,债券型-长债,2013-08-01,12.71亿,,暂无评级
000138,民生加银岁岁增利债券C,债券型-长债,2013-08-01,831.28万,,暂无评级
000139,富国国有企业债债券A/B,债券型-长债,2013-09-25,8.38亿,,暂无评级
000140,富国国有企业债债券A/B(后端),债券型-长债,,,,
000141,富国国有企业债债券C,债券型-长债,2013-09-25,123.94亿,,暂无评级
000142,融通增强收益债券A,债券型-混合二级,2013-05-30,42.38亿,,暂无评级
000143,鹏华双债加利债券A,债券型-混合二级,2013-05-27,22.17亿,,暂无评级
000147,易方达高等级信用债债券A,债券型-长债,2013-08-23,15.80亿,,暂无评级
000148,易方达高等级信用债债券C,债券型-长债,2013-08-23,8.82亿,,暂无评级
000149,华安双债添利债券A,债券型-混合一级,2013-06-14,4140.01万,,暂无评级
000150,华安双债添利债券C,债券型-混合一级,2013-06-14,3138.69万,,暂无评级
000152,大成景旭纯债债券A,债券型-长债,2013-07-23,1100.32万,,暂无评级
000153,大成景旭纯债债券C,债券型-长债,2013-07-23,859.82万,,暂无评级
000154,富国沪深300指数增强A(后端),指数型-股票,,,,
000155,富国通胀通缩主题轮动混合A(后端),混合型-偏股,,,,
000157,富国全球科技互联网股票(QDII)A(后端),QDII-普通股票,,,,
000158,富国低碳环保混合(后端),混合型-偏股,,,,
000159,富国高新技术产业混合(后端),混合型-偏股,,,,
000160,富国强回报定开债A/B(后端),债券型-长债,,,,
000161,富国宏观策略灵活配置混合A(后端),混合型-灵活,,,,
000162,富国中国中小盘混合(QDII)人民币(后端),QDII-混合偏股,,,,
000164,富国上证指数ETF联接A(后端),指数型-股票,,,,
000165,国投瑞银策略精选混合,混合型-灵活,2013-09-27,9.62亿,,暂无评级
000166,中海信息产业混合A,混合型-偏股,2013-07-31,5810.27万,,暂无评级
000167,广发聚优灵活配置混合A,混合型-灵活,2013-09-11,2.64亿,,暂无评级
000171,易方达裕丰回报债券A,债券型-混合二级,2013-08-23,178.65亿,,暂无评级
000172,华泰柏瑞量化增强混合A,混合型-偏股,2013-08-02,18.59亿,,暂无评级
000173,汇添富美丽30混合A,混合型-偏股,2013-06-25,12.56亿,,暂无评级
000174,汇添富高息债债券A,债券型-混合一级,2013-06-27,2.10亿,,暂无评级
000175,汇添富高息债债券C,债券型-混合一级,2013-06-27,1.41亿,,暂无评级
000176,嘉实沪深300指数研究增强A,指数型-股票,2014-12-26,15.54亿,,暂无评级
000179,广发美国房地产指数人民币(QDII)A,指数型-海外股票,2013-08-09,1.43亿,,暂无评级
000180,广发美国房地产指数美元现汇(QDII)A,指数型-海外股票,2013-08-09,1.43亿,,暂无评级
000181,景顺长城四季金利债券A,债券型-混合二级,2013-07-30,25.88亿,,暂无评级
000182,景顺长城四季金利债券C,债券型-混合二级,2013-07-30,1.15亿,,暂无评级
000183,嘉实丰益策略定期债券,债券型-混合一级,2013-07-30,15.21亿,,暂无评级
000184,工银添福债券A,债券型-混合二级,2013-10-31,4116.25万,,暂无评级
000185,工银添福债券B,债券型-混合二级,2013-10-31,1264.35万,,暂无评级
000186,华泰柏瑞季季红债券A,债券型-混合一级,2013-11-13,76.93亿,,暂无评级
000187,华泰柏瑞丰盛纯债债券A,债券型-长债,2013-09-02,9.94亿,,暂无评级
000188,华泰柏瑞丰盛纯债债券C,债券型-长债,2013-09-02,2.98亿,,暂无评级
000189,易方达丰华债券A,债券型-混合二级,2016-01-13,25.92亿,,暂无评级
000190,中银新回报灵活配置混合A,混合型-灵活,2013-09-10,14.09亿,,暂无评级
000191,富国信用债债券A/B,债券型-长债,2013-06-25,144.87亿,,暂无评级
000192,富国信用债债券C,债券型-长债,2013-06-25,17.65亿,,暂无评级
000194,银华信用四季红债券A,债券型-长债,2013-08-07,7.23亿,,暂无评级
000195,工银成长收益混合A,混合型-灵活,2013-06-26,6611.37万,,暂无评级
000196,工银成长收益混合B,混合型-灵活,2013-06-26,5534.47万,,暂无评级
000197,富国目标收益一年期纯债债券,债券型-长债,2013-06-27,20.87亿,,暂无评级
000198,天弘余额宝货币,货币型-普通货币,,,,
000199,国泰量化策略收益混合A,混合型-偏股,2015-01-16,2.06亿,,暂无评级
000200,博时岁岁增利一年持有期债券A,债券型-中短债,2013-06-26,48.69亿,,暂无评级
000201,诺安泰鑫一年定期开放债券A,债券型-长债,2013-11-05,5274.62万,,暂无评级
000203,国富日日收益货币A,货币型-普通货币,2013-07-24,67.31亿,,暂无评级
000204,国富日日收益货币B,货币型-普通货币,2013-07-24,4.47亿,,暂无评级
000205,易方达投资级信用债债券A,债券型-长债,2013-09-10,35.79亿,,暂无评级
000206,易方达投资级信用债债券C,债券型-长债,2013-09-10,12.30亿,,暂无评级
000207,建信双债增强债券A,债券型-混合一级,2013-07-25,1232.13万,,暂无评级
000208,建信双债增强债券C,债券型-混合一级,2013-07-25,1273.56万,,暂无评级
000209,中信保诚新兴产业混合A,混合型-偏股,2013-07-17,21.94亿,,暂无评级
000210,光大现金宝货币A,货币型-普通货币,2013-09-05,1.08亿,,暂无评级
000211,光大现金宝货币B,货币型-普通货币,2013-09-05,8646.86万,,暂无评级
000212,泰信鑫益定期开放A,债券型-长债,2013-07-17,5.61亿,,暂无评级
000213,泰信鑫益定期开放C,债券型-长债,2013-07-17,1331.85万,,暂无评级
000214,广发成长优选混合,混合型-灵活,2013-12-11,1.75亿,,暂无评级
000215,广发趋势优选灵活配置混合A,混合型-灵活,2013-09-11,11.12亿,,暂无评级
000216,华安黄金易ETF联接A,指数型-其他,2013-08-22,28.72亿,,暂无评级
000217,华安黄金易ETF联接C,指数型-其他,2013-08-22,82.10亿,,暂无评级
000218,国泰黄金ETF联接A,指数型-其他,2016-04-13,25.37亿,,暂无评级
000219,博时裕益混合,混合型-灵活,2013-07-29,1.14亿,,暂无评级
000220,富国医疗保健行业混合A,混合型-偏股,2013-08-07,10.48亿,,暂无评级
000221,汇添富年年利定期开放债券A,债券型-混合一级,2013-09-06,19.82亿,,暂无评级
000222,汇添富年年利定期开放债券C,债券型-混合一级,2013-09-06,1100.58万,,暂无评级
000227,华安年年红债券A,债券型-混合一级,2013-11-14,1.26亿,,暂无评级
000235,诺安稳固收益一年定期开放债券A,债券型-长债,2013-08-21,5392.19万,,暂无评级
000236,工银月月薪定期支付债券A,债券型-混合二级,2013-08-14,2.21亿,,暂无评级
000239,华安年年盈定开债A,债券型-混合一级,2015-02-03,5174.48万,,暂无评级
000240,华安年年盈定开债C,债券型-混合一级,2015-02-03,492.78万,,暂无评级
000241,宝盈核心优势混合C,混合型-灵活,2013-08-01,1465.87万,,暂无评级
000242,景顺长城策略精选灵活配置混合A,混合型-灵活,2013-08-07,42.03亿,,暂无评级
000244,天弘稳利定期开放A,债券型-混合一级,2013-07-19,10.82亿,,暂无评级
000245,天弘稳利定期开放B,债券型-混合一级,2013-07-19,1184.22万,,暂无评级
000248,汇添富中证主要消费ETF联接A,指数型-股票,2015-03-24,42.44亿,,暂无评级
000251,工银金融地产混合A,混合型-偏股,2013-08-26,24.54亿,,暂无评级
000252,景顺长城景兴信用纯债债券A,债券型-长债,2013-08-26,36.68亿,,暂无评级
000253,景顺长城景兴信用纯债债券C,债券型-长债,2013-08-26,5715.88万,,暂无评级
000254,长城增强收益定期开放债券A,债券型-混合一级,2013-09-06,9072.17万,,暂无评级
000255,长城增强收益定期开放债券C,债券型-混合一级,2013-09-06,4523.03万,,暂无评级
000259,农银区间收益混合,混合型-灵活,2013-08-21,3.81亿,,暂无评级
000263,工银信息产业混合A,混合型-偏股,2013-11-11,9.82亿,,暂无评级
000264,博时内需增长混合A,混合型-灵活,2013-07-15,1.51亿,,暂无评级
000265,易方达恒久添利1年定开债A,债券型-长债,2014-09-10,15.76亿,,暂无评级
000266,易方达恒久添利1年定开债C,债券型-长债,2014-09-10,4.48亿,,暂无评级
000267,广发集利一年定开债A,债券型-长债,2013-08-21,2.78亿,,暂无评级
000268,广发集利一年定开债C,债券型-长债,2013-08-21,7311.20万,,暂无评级
000270,建信灵活配置混合A,混合型-灵活,2013-09-03,4270.58万,,暂无评级
000271,中邮定开债券A,债券型-长债,2013-11-05,5.19亿,,暂无评级
000272,中邮定开债券C,债券型-长债,2013-11-05,2181.44万,,暂无评级
000273,华润元大安鑫灵活配置混合A,混合型-灵活,2013-09-11,673.70万,,暂无评级
000274,广发亚太中高收益债(QDII)A,QDII-纯债,2013-11-28,7535.52万,,暂无评级
000275,广发亚太中高收益债美元现汇(QDII)A,QDII-纯债,2013-11-28,7535.52万,,暂无评级
000277,博时双月薪定期支付债券,债券型-长债,2013-10-22,3.65亿,,暂无评级
000279,华商红利优选混合,混合型-灵活,2013-09-17,2.31亿,,暂无评级
000286,银华信用季季红债券A,债券型-混合一级,2013-09-18,17.95亿,,暂无评级
000289,鹏华丰泰定开债A,债券型-混合一级,2013-09-24,5.38亿,,暂无评级
000290,鹏华全球高收益债(QDII),QDII-纯债,2013-10-22,5.97亿,,暂无评级
000294,华安生态优先混合A,混合型-偏股,2013-11-28,15.99亿,,暂无评级
000295,鹏华丰实定期开放债券A,债券型-混合一级,2013-09-10,19.79亿,,暂无评级
000296,鹏华丰实定期开放债券B,债券型-混合一级,2013-09-10,462.37万,,暂无评级
000297,鹏华可转债债券A,债券型-混合二级,2015-02-03,38.68亿,,暂无评级
000298,中海纯债债券A,债券型-长债,2014-04-23,6.83亿,,暂无评级
000299,中海纯债债券C,债券型-长债,2014-04-23,735.71万,,暂无评级
000300,德邦德利货币A,货币型-普通货币,2013-09-16,23.67亿,,暂无评级
000301,德邦德利货币B,货币型-普通货币,2013-09-16,7.71亿,,暂无评级
000305,中银中高等级债券A,债券型-长债,2013-12-05,27.73亿,,暂无评级
000306,天弘弘利债券A,债券型-混合二级,2013-09-11,31.15亿,,暂无评级
000307,易方达黄金ETF联接A,指数型-其他,2016-05-26,19.58亿,,暂无评级
000308,建信创新中国混合,混合型-偏股,2013-09-24,7.39亿,,暂无评级
000309,大摩品质生活精选股票A,股票型,2013-10-29,2.84亿,,暂无评级
000310,安信永利信用A,债券型-混合一级,2013-11-08,3875.63万,,暂无评级
000311,景顺长城沪深300指数增强A,指数型-股票,2013-10-29,48.64亿,,暂无评级
000312,华安沪深300增强A,指数型-股票,2013-09-27,6.01亿,,暂无评级
000313,华安沪深300增强C,指数型-股票,2013-09-27,3.92亿,,暂无评级
000314,招商瑞丰灵活配置混合发起式A,混合型-灵活,2013-11-06,1.22亿,,暂无评级
000319,宏利淘利债券A,债券型-混合一级,2014-08-06,17.80亿,,暂无评级
000320,宏利淘利债券C,债券型-混合一级,2014-08-06,3.16亿,,暂无评级
000322,农银汇理金汇债券A,债券型-长债,2013-12-18,6.70亿,,暂无评级
000324,华润元大现金收益货币A,货币型-普通货币,2013-10-29,1294.24万,,暂无评级
000325,华润元大现金收益货币B,货币型-普通货币,2013-10-29,1000.00万,,暂无评级
000326,南方中小盘成长股票A,股票型,2015-10-28,4.62亿,,暂无评级
000327,南方潜力新蓝筹混合A,混合型-偏股,2015-05-29,10.29亿,,暂无评级
000328,摩根转型动力混合A,混合型-灵活,2013-11-25,1.62亿,,暂无评级
000329,鹏华丰饶定开债,债券型-混合一级,2016-08-24,12.15亿,,暂无评级
000330,汇添富现金宝货币A,货币型-普通货币,,,,
000331,中加货币A,货币型-普通货币,2013-10-21,8.67亿,,暂无评级
000332,中加货币C,货币型-普通货币,2013-10-21,97.02亿,,暂无评级
000333,长城稳固收益债券A,债券型-混合二级,2015-01-28,881.71万,,暂无评级
000334,长城稳固收益债券C,债券型-混合二级,2015-01-28,846.14万,,暂无评级
000335,安信永利信用C,债券型-混合一级,2013-11-08,2910.12万,,暂无评级
000336,农银研究精选混合,混合型-灵活,2013-11-05,25.76亿,,暂无评级
000338,鹏华双债保利债券B,债券型-混合二级,2013-09-18,34.17亿,,暂无评级
000339,长城医疗保健混合A,混合型-偏股,2014-02-28,4.65亿,,暂无评级
000341,嘉实新兴市场C2(QDII),QDII-纯债,2013-11-26,5997.88万,,暂无评级
000342,嘉实新兴市场A1(QDII),QDII-纯债,2013-11-26,21.91亿,,暂无评级
000343,华夏财富宝货币A,货币型-普通货币,2013-10-25,1926.23亿,,暂无评级
000345,鹏华丰融定开债,债券型-混合一级,2013-11-19,7.57亿,,暂无评级
000346,建信安心回报6个月定开A,债券型-长债,2013-11-05,10.12亿,,暂无评级
000347,建信安心回报6个月定开C,债券型-长债,2013-11-05,2610.16万,,暂无评级
000351,国富恒丰一年持有期债券A,债券型-长债,2013-11-20,1.60亿,,暂无评级
000352,国富恒丰一年持有期债券C,债券型-长债,2013-11-20,1990.86万,,暂无评级
000354,长盛城镇化主题混合A,混合型-偏股,2013-11-12,5418.84万,,暂无评级
000355,南方丰元信用增强债券A,债券型-混合一级,2013-11-12,6.65亿,,暂无评级
000356,南方丰元信用增强债券C,债券型-混合一级,2013-11-12,2.67亿,,暂无评级
000359,易方达易理财货币A,货币型-普通货币,,,,
000362,国泰聚信价值优势混合A,混合型-灵活,2013-12-17,15.02亿,,暂无评级
000363,国泰聚信价值优势混合C,混合型-灵活,2013-12-17,8.57亿,,暂无评级
000366,汇添富添富通货币A,货币型-普通货币,2013-12-10,298.63亿,,暂无评级
000367,国泰安康定期支付混合A,混合型-偏债,2014-04-30,1.01亿,,暂无评级
000368,汇添富沪深300安中指数A,指数型-股票,2013-11-06,38.56亿,,暂无评级
000369,广发全球医疗保健指数人民币(QDII)A,指数型-海外股票,2013-12-10,10.36亿,,暂无评级
000370,广发全球医疗保健美元现汇(QDII)A,指数型-海外股票,2013-12-10,10.36亿,,暂无评级
000371,民生加银现金宝货币A,货币型-普通货币,,,,
000372,中银惠利半年定期开放债券A,债券型-长债,2013-11-07,31.16亿,,暂无评级
000373,华安中证细分医药ETF联接A,指数型-股票,2014-11-28,4056.71万,,暂无评级
000376,华安中证细分医药ETF联接C,指数型-股票,2014-11-28,7169.69万,,暂无评级
000377,摩根双债增利债券A,债券型-混合二级,2013-12-11,3665.61万,,暂无评级
000378,摩根双债增利债券C,债券型-混合二级,2013-12-11,434.45万,,暂无评级
000379,平安日增利货币A,货币型-普通货币,2013-12-03,1960.89亿,,暂无评级
000380,景顺长城景益货币A,货币型-普通货币,2013-11-26,1245.47亿,,暂无评级
000381,景顺长城景益货币B,货币型-普通货币,2013-11-26,3.64亿,,暂无评级
000385,景顺长城景颐双利债券A,债券型-混合二级,2013-11-13,131.52亿,,暂无评级
000386,景顺长城景颐双利债券C,债券型-混合二级,2013-11-13,10.64亿,,暂无评级
000389,广发天天红货币A,货币型-普通货币,2013-10-22,1615.86亿,,暂无评级
000390,华商优势行业混合,混合型-灵活,2013-12-11,91.81亿,,暂无评级
000394,融通通源短融债券A,债券型-中短债,2013-12-31,1.13亿,,暂无评级
000395,汇添富安心中国债券A,债券型-长债,2013-11-22,8.51亿,,暂无评级
000396,汇添富安心中国债券C,债券型-长债,2013-11-22,4069.49万,,暂无评级
000397,汇添富全额宝货币A,货币型-普通货币,,,,
000398,华富灵活配置混合A,混合型-灵活,2013-12-18,7827.60万,,暂无评级
000402,工银纯债债券A,债券型-长债,2014-05-16,74.65亿,,暂无评级
000403,工银纯债债券B,债券型-长债,2014-05-16,12.43亿,,暂无评级
000404,易方达新兴成长灵活配置,混合型-灵活,2013-11-28,34.31亿,,暂无评级
000406,汇添富双利增强债券A,债券型-混合二级,2013-12-03,8.85亿,,暂无评级
000407,汇添富双利增强债券C,债券型-混合二级,2013-12-03,7791.10万,,暂无评级
000408,民生加银城镇化混合A,混合型-灵活,2013-12-12,3.69亿,,暂无评级
000409,鹏华环保产业股票,股票型,2014-03-07,17.95亿,,暂无评级
000410,益民服务领先混合A,混合型-灵活,2013-12-13,2.24亿,,暂无评级
000411,景顺长城优质成长股票A,股票型,2014-01-02,2.22亿,,暂无评级
000414,嘉实绝对收益策略定期混合A,混合型-绝对收益,2013-12-06,9406.61万,,暂无评级
000415,大摩添利18个月定开债A,债券型-长债,2014-09-02,3.43亿,,暂无评级
000416,大摩添利18个月定开债C,债券型-长债,2014-09-02,5536.68万,,暂无评级
000417,国联安新精选混合A,混合型-灵活,2014-03-04,4675.23万,,暂无评级
000418,景顺长城成长之星股票A,股票型,2013-12-13,25.78亿,,暂无评级
000419,大摩优质信价纯债A,债券型-长债,2014-11-25,6448.06万,,暂无评级
000420,大摩优质信价纯债C,债券型-长债,2014-11-25,4265.12万,,暂无评级
000423,前海开源事件驱动混合A,混合型-灵活,2013-12-19,4182.65万,,暂无评级
000424,长盛添利宝货币A,货币型-普通货币,2013-12-09,297.47亿,,暂无评级
000425,长盛添利宝货币B,货币型-普通货币,2013-12-09,1.32亿,,暂无评级
000431,鹏华品牌传承混合,混合型-灵活,2014-01-28,2.58亿,,暂无评级
000432,中银优秀企业混合,混合型-偏股,2014-01-28,1445.84万,,暂无评级
000433,安信鑫发优选混合A,混合型-灵活,2013-12-31,5126.62万,,暂无评级
000434,新华壹诺宝货币A,货币型-普通货币,2013-12-03,42.88亿,,暂无评级
000436,易方达裕惠定开混合A,混合型-偏债,2013-12-17,11.31亿,,暂无评级
000452,南方医药保健灵活配置混合A,混合型-灵活,2014-01-23,32.43亿,,暂无评级
000457,摩根核心成长股票A,股票型,2014-02-10,7.90亿,,暂无评级
000458,英大领先回报混合发起式,混合型-灵活,2014-03-05,6961.29万,,暂无评级
000459,英大领先回报混合发起式(后端),混合型-灵活,,,,
000462,农银主题轮动混合A,混合型-灵活,2015-04-10,4.78亿,,暂无评级
000464,嘉实活期宝货币A,货币型-普通货币,2013-12-18,108.51亿,,暂无评级
000465,景顺长城鑫月薪定期支付债券,债券型-长债,2014-03-20,15.74亿,,暂无评级
000469,富国目标齐利一年期纯债债券,债券型-长债,2014-07-25,21.13亿,,暂无评级
000470,富国目标齐利一年期纯债债券(后端),债券型-长债,,,,
000471,富国城镇发展股票,股票型,2014-01-28,12.18亿,,暂无评级
000472,富国城镇发展股票(后端),股票型,,,,
000475,广发天天利货币A,货币型-普通货币,2014-01-27,3.35亿,,暂无评级
000476,广发天天利货币B,货币型-普通货币,2014-01-27,3977.29万,,暂无评级
000477,广发主题领先混合A,混合型-灵活,2014-07-31,21.33亿,,暂无评级
000478,建信中证500指数增强A,指数型-股票,2014-01-27,44.68亿,,暂无评级
000480,东方红新动力混合A,混合型-灵活,2014-01-28,21.08亿,,暂无评级
000483,鑫元货币A,货币型-普通货币,2013-12-30,1.63亿,,暂无评级
000484,鑫元货币B,货币型-普通货币,2013-12-30,49.12亿,,暂无评级
000487,嘉实3个月理财债券A,债券型-中短债,2014-06-27,2.62亿,,暂无评级
000488,嘉实3个月理财债券E,债券型-中短债,2014-06-27,15.98亿,,暂无评级
000493,南方现金通A,货币型-普通货币,,,,
000494,南方现金通B,货币型-普通货币,,,,
000495,南方现金通C,货币型-普通货币,,,,
000496,长安产业精选混合A,混合型-灵活,2014-05-07,2408.27万,,暂无评级
000497,财通纯债债券A,债券型-长债,2014-01-17,9.95亿,,暂无评级
000503,中信建投景和中短债A,债券型-中短债,2014-01-27,8.30亿,,暂无评级
000504,中信建投景和中短债C,债券型-中短债,2014-01-27,4.74亿,,暂无评级
000505,国寿安保货币A,货币型-普通货币,2014-01-20,657.16亿,,暂无评级
000506,国寿安保货币B,货币型-普通货币,2014-01-20,5094.50万,,暂无评级
