基金代码,基金简称,基金类型,成立时间,最新规模,评级机构,基金评级
43,嘉实美国成长股票人民币,QDII-普通股票,2013-06-14,39.8,,暂无评级
44,嘉实美国成长股票美元现汇,QDII-普通股票,2013-06-14,1.2,,暂无评级
45,工银产业债债券A,债券型-混合二级,2013-03-29,41.18,,暂无评级
46,工银产业债债券B,债券型-混合二级,2013-03-29,1.5,,暂无评级
47,华夏双债债券A,债券型-混合一级,2013-03-14,3.21,,暂无评级
48,华夏双债债券C,债券型-混合一级,2013-03-14,1.22,,暂无评级
51,华夏沪深300ETF联接A,指数型-股票,2009-07-10,109.29,,暂无评级
53,鹏华永诚一年定开债券,债券型-长债,2013-05-03,10.05,,暂无评级
54,鹏华双债增利债券A,债券型-混合二级,2013-03-13,10.74,,暂无评级
55,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票,2015-01-16,76.74,,暂无评级
56,建信消费升级混合,混合型-灵活,2013-06-14,0.530913,,暂无评级
57,中银消费主题混合A,混合型-偏股,2013-04-25,0.49316800000000005,,暂无评级
58,国联安安泰灵活配置混合,混合型-灵活,2013-04-23,3.77,,暂无评级
59,国联安中证医药100A,指数型-股票,2013-08-21,1.82,,暂无评级
61,华夏盛世混合,混合型-偏股,2009-12-11,10.13,,暂无评级
63,长盛电子信息主题灵活配置混合,混合型-灵活,2013-05-10,2.58,,暂无评级
64,大摩18个月定开债C,债券型-长债,2013-06-25,2.04,,暂无评级
65,国富焦点驱动混合A,混合型-灵活,2013-05-07,0.617487,,暂无评级
66,诺安鸿鑫混合A,混合型-偏股,2013-05-03,0.44296199999999997,,暂无评级
67,民生加银转债优选A,债券型-混合二级,2013-04-18,0.708863,,暂无评级
68,民生加银转债优选C,债券型-混合二级,2013-04-18,0.976039,,暂无评级
69,国投瑞银中高等级债券A,债券型-混合一级,2013-05-14,8.86,,暂无评级
70,国投瑞银中高等级债券C,债券型-混合一级,2013-05-14,1.01,,暂无评级
71,华夏恒生ETF联接A,指数型-海外股票,2012-08-21,60.05,,暂无评级
72,华安稳健回报混合A,混合型-灵活,2013-05-14,1.11,,暂无评级
73,摩根成长动力混合A,混合型-灵活,2013-05-15,2.09,,暂无评级
74,工银信用纯债一年定开债A,债券型-长债,2013-05-22,8.9,,暂无评级
75,华夏恒生ETF联接现汇,指数型-海外股票,2012-08-21,60.05,,暂无评级
76,华夏恒生ETF联接现钞,指数型-海外股票,2012-08-21,60.05,,暂无评级
77,工银信用纯债一年定开债C,债券型-长债,2013-05-22,0.40996499999999997,,暂无评级
78,工银信用纯债三个月定开债A,债券型-长债,2013-06-24,26.07,,暂无评级
79,工银信用纯债三个月定开债C,债券型-长债,2013-06-24,0.08798099999999999,,暂无评级
80,天治可转债增强债券A,债券型-混合二级,2013-06-04,0.163395,,暂无评级
81,天治可转债增强债券C,债券型-混合二级,2013-06-04,0.422295,,暂无评级
82,嘉实研究阿尔法股票A,股票型,2013-05-28,6.45,,暂无评级
83,汇添富消费行业混合,混合型-偏股,2013-05-03,133.78,,暂无评级
84,博时安盈债券A,债券型-中短债,2013-04-23,33.95,,暂无评级
85,博时安盈债券C,债券型-中短债,2013-04-23,16.19,,暂无评级
86,南方稳利1年持有期债券A,债券型-长债,2013-07-23,15.69,,暂无评级
89,民生加银高等级信用债C,债券型-中短债,2013-04-25,6.09,,暂无评级
90,民生加银高等级信用债A,债券型-中短债,2013-04-25,3.22,,暂无评级
103,国泰中国企业境外高收益债,QDII-纯债,2013-04-26,1.02,,暂无评级
104,华宸未来稳健添利债券A,债券型-混合一级,2013-08-20,0.9848290000000001,,暂无评级
105,建信安心回报债券A,债券型-长债,2013-05-14,19.82,,暂无评级
106,建信安心回报债券C,债券型-长债,2013-05-14,0.15098,,暂无评级
107,富国稳健增强债券A/B,债券型-混合二级,2013-05-21,42.21,,暂无评级
108,富国稳健增强债券A/B(后端),债券型-混合二级,,,,
109,富国稳健增强债券C,债券型-混合二级,2013-05-21,8.61,,暂无评级
110,金鹰元安混合A,混合型-偏债,2013-05-20,0.150918,,暂无评级
111,易方达纯债1年定开债A,债券型-长债,2013-07-30,19.35,,暂无评级
112,易方达纯债1年定开债C,债券型-长债,2013-07-30,0.077774,,暂无评级
116,嘉实丰益纯债定期债券A,债券型-长债,2013-05-21,10.09,,暂无评级
117,广发轮动配置混合,混合型-偏股,2013-05-28,2.93,,暂无评级
118,广发聚鑫债券A,债券型-混合二级,2013-06-05,69.94,,暂无评级
119,广发聚鑫债券C,债券型-混合二级,2013-06-05,6.97,,暂无评级
120,中银美丽中国混合,混合型-偏股,2013-06-07,0.380236,,暂无评级
121,华夏永福混合A,混合型-偏债,2013-08-13,9.28,,暂无评级
122,汇添富实业债债券A,债券型-混合一级,2013-06-14,22.82,,暂无评级
123,汇添富实业债债券C,债券型-混合一级,2013-06-14,1.27,,暂无评级
124,华宝服务优选混合,混合型-偏股,2013-06-27,5.98,,暂无评级
126,招商安润灵活配置混合A,混合型-灵活,2013-04-19,4.09,,暂无评级
127,农银行业领先混合,混合型-偏股,2013-06-25,8.34,,暂无评级
128,大成景安短融债券A,债券型-中短债,2013-05-24,5.07,,暂无评级
129,大成景安短融债券B,债券型-中短债,2013-05-24,9.03,,暂无评级
130,大成景兴信用债债券A,债券型-混合一级,2013-06-04,0.890337,,暂无评级
131,大成景兴信用债债券C,债券型-混合一级,2013-06-04,0.694661,,暂无评级
134,中信保诚嘉鸿债券A,债券型-长债,2017-05-25,77.8,,暂无评级
135,中信保诚嘉鸿债券C,债券型-长债,2017-05-25,0.0,,暂无评级
136,民生加银策略精选混合A,混合型-灵活,2013-06-07,15.41,,暂无评级
137,民生加银岁岁增利债券A,债券型-长债,2013-08-01,12.71,,暂无评级
138,民生加银岁岁增利债券C,债券型-长债,2013-08-01,0.083128,,暂无评级
139,富国国有企业债债券A/B,债券型-长债,2013-09-25,8.38,,暂无评级
140,富国国有企业债债券A/B(后端),债券型-长债,,,,
141,富国国有企业债债券C,债券型-长债,2013-09-25,123.94,,暂无评级
142,融通增强收益债券A,债券型-混合二级,2013-05-30,42.38,,暂无评级
143,鹏华双债加利债券A,债券型-混合二级,2013-05-27,22.17,,暂无评级
147,易方达高等级信用债债券A,债券型-长债,2013-08-23,15.8,,暂无评级
148,易方达高等级信用债债券C,债券型-长债,2013-08-23,8.82,,暂无评级
149,华安双债添利债券A,债券型-混合一级,2013-06-14,0.414001,,暂无评级
150,华安双债添利债券C,债券型-混合一级,2013-06-14,0.313869,,暂无评级
152,大成景旭纯债债券A,债券型-长债,2013-07-23,0.11003199999999999,,暂无评级
153,大成景旭纯债债券C,债券型-长债,2013-07-23,0.085982,,暂无评级
154,富国沪深300指数增强A(后端),指数型-股票,,,,
155,富国通胀通缩主题轮动混合A(后端),混合型-偏股,,,,
157,富国全球科技互联网股票(QDII)A(后端),QDII-普通股票,,,,
158,富国低碳环保混合(后端),混合型-偏股,,,,
159,富国高新技术产业混合(后端),混合型-偏股,,,,
160,富国强回报定开债A/B(后端),债券型-长债,,,,
161,富国宏观策略灵活配置混合A(后端),混合型-灵活,,,,
162,富国中国中小盘混合(QDII)人民币(后端),QDII-混合偏股,,,,
164,富国上证指数ETF联接A(后端),指数型-股票,,,,
165,国投瑞银策略精选混合,混合型-灵活,2013-09-27,9.62,,暂无评级
166,中海信息产业混合A,混合型-偏股,2013-07-31,0.5810270000000001,,暂无评级
167,广发聚优灵活配置混合A,混合型-灵活,2013-09-11,2.64,,暂无评级
171,易方达裕丰回报债券A,债券型-混合二级,2013-08-23,178.65,,暂无评级
172,华泰柏瑞量化增强混合A,混合型-偏股,2013-08-02,18.59,,暂无评级
173,汇添富美丽30混合A,混合型-偏股,2013-06-25,12.56,,暂无评级
174,汇添富高息债债券A,债券型-混合一级,2013-06-27,2.1,,暂无评级
175,汇添富高息债债券C,债券型-混合一级,2013-06-27,1.41,,暂无评级
176,嘉实沪深300指数研究增强A,指数型-股票,2014-12-26,15.54,,暂无评级
179,广发美国房地产指数人民币(QDII)A,指数型-海外股票,2013-08-09,1.43,,暂无评级
180,广发美国房地产指数美元现汇(QDII)A,指数型-海外股票,2013-08-09,1.43,,暂无评级
181,景顺长城四季金利债券A,债券型-混合二级,2013-07-30,25.88,,暂无评级
182,景顺长城四季金利债券C,债券型-混合二级,2013-07-30,1.15,,暂无评级
183,嘉实丰益策略定期债券,债券型-混合一级,2013-07-30,15.21,,暂无评级
184,工银添福债券A,债券型-混合二级,2013-10-31,0.411625,,暂无评级
185,工银添福债券B,债券型-混合二级,2013-10-31,0.126435,,暂无评级
186,华泰柏瑞季季红债券A,债券型-混合一级,2013-11-13,76.93,,暂无评级
187,华泰柏瑞丰盛纯债债券A,债券型-长债,2013-09-02,9.94,,暂无评级
188,华泰柏瑞丰盛纯债债券C,债券型-长债,2013-09-02,2.98,,暂无评级
189,易方达丰华债券A,债券型-混合二级,2016-01-13,25.92,,暂无评级
190,中银新回报灵活配置混合A,混合型-灵活,2013-09-10,14.09,,暂无评级
191,富国信用债债券A/B,债券型-长债,2013-06-25,144.87,,暂无评级
192,富国信用债债券C,债券型-长债,2013-06-25,17.65,,暂无评级
194,银华信用四季红债券A,债券型-长债,2013-08-07,7.23,,暂无评级
195,工银成长收益混合A,混合型-灵活,2013-06-26,0.661137,,暂无评级
196,工银成长收益混合B,混合型-灵活,2013-06-26,0.553447,,暂无评级
197,富国目标收益一年期纯债债券,债券型-长债,2013-06-27,20.87,,暂无评级
198,天弘余额宝货币,货币型-普通货币,,,,
199,国泰量化策略收益混合A,混合型-偏股,2015-01-16,2.06,,暂无评级
200,博时岁岁增利一年持有期债券A,债券型-中短债,2013-06-26,48.69,,暂无评级
201,诺安泰鑫一年定期开放债券A,债券型-长债,2013-11-05,0.527462,,暂无评级
203,国富日日收益货币A,货币型-普通货币,2013-07-24,67.31,,暂无评级
204,国富日日收益货币B,货币型-普通货币,2013-07-24,4.47,,暂无评级
205,易方达投资级信用债债券A,债券型-长债,2013-09-10,35.79,,暂无评级
206,易方达投资级信用债债券C,债券型-长债,2013-09-10,12.3,,暂无评级
207,建信双债增强债券A,债券型-混合一级,2013-07-25,0.12321300000000002,,暂无评级
208,建信双债增强债券C,债券型-混合一级,2013-07-25,0.127356,,暂无评级
209,中信保诚新兴产业混合A,混合型-偏股,2013-07-17,21.94,,暂无评级
210,光大现金宝货币A,货币型-普通货币,2013-09-05,1.08,,暂无评级
211,光大现金宝货币B,货币型-普通货币,2013-09-05,0.8646860000000001,,暂无评级
212,泰信鑫益定期开放A,债券型-长债,2013-07-17,5.61,,暂无评级
213,泰信鑫益定期开放C,债券型-长债,2013-07-17,0.133185,,暂无评级
214,广发成长优选混合,混合型-灵活,2013-12-11,1.75,,暂无评级
215,广发趋势优选灵活配置混合A,混合型-灵活,2013-09-11,11.12,,暂无评级
216,华安黄金易ETF联接A,指数型-其他,2013-08-22,28.72,,暂无评级
217,华安黄金易ETF联接C,指数型-其他,2013-08-22,82.1,,暂无评级
218,国泰黄金ETF联接A,指数型-其他,2016-04-13,25.37,,暂无评级
219,博时裕益混合,混合型-灵活,2013-07-29,1.14,,暂无评级
220,富国医疗保健行业混合A,混合型-偏股,2013-08-07,10.48,,暂无评级
221,汇添富年年利定期开放债券A,债券型-混合一级,2013-09-06,19.82,,暂无评级
222,汇添富年年利定期开放债券C,债券型-混合一级,2013-09-06,0.11005799999999999,,暂无评级
227,华安年年红债券A,债券型-混合一级,2013-11-14,1.26,,暂无评级
235,诺安稳固收益一年定期开放债券A,债券型-长债,2013-08-21,0.539219,,暂无评级
236,工银月月薪定期支付债券A,债券型-混合二级,2013-08-14,2.21,,暂无评级
239,华安年年盈定开债A,债券型-混合一级,2015-02-03,0.5174479999999999,,暂无评级
240,华安年年盈定开债C,债券型-混合一级,2015-02-03,0.049277999999999995,,暂无评级
241,宝盈核心优势混合C,混合型-灵活,2013-08-01,0.146587,,暂无评级
242,景顺长城策略精选灵活配置混合A,混合型-灵活,2013-08-07,42.03,,暂无评级
244,天弘稳利定期开放A,债券型-混合一级,2013-07-19,10.82,,暂无评级
245,天弘稳利定期开放B,债券型-混合一级,2013-07-19,0.118422,,暂无评级
248,汇添富中证主要消费ETF联接A,指数型-股票,2015-03-24,42.44,,暂无评级
251,工银金融地产混合A,混合型-偏股,2013-08-26,24.54,,暂无评级
252,景顺长城景兴信用纯债债券A,债券型-长债,2013-08-26,36.68,,暂无评级
253,景顺长城景兴信用纯债债券C,债券型-长债,2013-08-26,0.571588,,暂无评级
254,长城增强收益定期开放债券A,债券型-混合一级,2013-09-06,0.907217,,暂无评级
255,长城增强收益定期开放债券C,债券型-混合一级,2013-09-06,0.45230299999999996,,暂无评级
259,农银区间收益混合,混合型-灵活,2013-08-21,3.81,,暂无评级
263,工银信息产业混合A,混合型-偏股,2013-11-11,9.82,,暂无评级
264,博时内需增长混合A,混合型-灵活,2013-07-15,1.51,,暂无评级
265,易方达恒久添利1年定开债A,债券型-长债,2014-09-10,15.76,,暂无评级
266,易方达恒久添利1年定开债C,债券型-长债,2014-09-10,4.48,,暂无评级
267,广发集利一年定开债A,债券型-长债,2013-08-21,2.78,,暂无评级
268,广发集利一年定开债C,债券型-长债,2013-08-21,0.73112,,暂无评级
270,建信灵活配置混合A,混合型-灵活,2013-09-03,0.427058,,暂无评级
271,中邮定开债券A,债券型-长债,2013-11-05,5.19,,暂无评级
272,中邮定开债券C,债券型-长债,2013-11-05,0.218144,,暂无评级
273,华润元大安鑫灵活配置混合A,混合型-灵活,2013-09-11,0.06737,,暂无评级
274,广发亚太中高收益债(QDII)A,QDII-纯债,2013-11-28,0.753552,,暂无评级
275,广发亚太中高收益债美元现汇(QDII)A,QDII-纯债,2013-11-28,0.753552,,暂无评级
277,博时双月薪定期支付债券,债券型-长债,2013-10-22,3.65,,暂无评级
279,华商红利优选混合,混合型-灵活,2013-09-17,2.31,,暂无评级
286,银华信用季季红债券A,债券型-混合一级,2013-09-18,17.95,,暂无评级
289,鹏华丰泰定开债A,债券型-混合一级,2013-09-24,5.38,,暂无评级
290,鹏华全球高收益债(QDII),QDII-纯债,2013-10-22,5.97,,暂无评级
294,华安生态优先混合A,混合型-偏股,2013-11-28,15.99,,暂无评级
295,鹏华丰实定期开放债券A,债券型-混合一级,2013-09-10,19.79,,暂无评级
296,鹏华丰实定期开放债券B,债券型-混合一级,2013-09-10,0.046237,,暂无评级
297,鹏华可转债债券A,债券型-混合二级,2015-02-03,38.68,,暂无评级
298,中海纯债债券A,债券型-长债,2014-04-23,6.83,,暂无评级
299,中海纯债债券C,债券型-长债,2014-04-23,0.073571,,暂无评级
300,德邦德利货币A,货币型-普通货币,2013-09-16,23.67,,暂无评级
301,德邦德利货币B,货币型-普通货币,2013-09-16,7.71,,暂无评级
305,中银中高等级债券A,债券型-长债,2013-12-05,27.73,,暂无评级
306,天弘弘利债券A,债券型-混合二级,2013-09-11,31.15,,暂无评级
307,易方达黄金ETF联接A,指数型-其他,2016-05-26,19.58,,暂无评级
308,建信创新中国混合,混合型-偏股,2013-09-24,7.39,,暂无评级
309,大摩品质生活精选股票A,股票型,2013-10-29,2.84,,暂无评级
310,安信永利信用A,债券型-混合一级,2013-11-08,0.387563,,暂无评级
311,景顺长城沪深300指数增强A,指数型-股票,2013-10-29,48.64,,暂无评级
312,华安沪深300增强A,指数型-股票,2013-09-27,6.01,,暂无评级
313,华安沪深300增强C,指数型-股票,2013-09-27,3.92,,暂无评级
314,招商瑞丰灵活配置混合发起式A,混合型-灵活,2013-11-06,1.22,,暂无评级
319,宏利淘利债券A,债券型-混合一级,2014-08-06,17.8,,暂无评级
320,宏利淘利债券C,债券型-混合一级,2014-08-06,3.16,,暂无评级
322,农银汇理金汇债券A,债券型-长债,2013-12-18,6.7,,暂无评级
324,华润元大现金收益货币A,货币型-普通货币,2013-10-29,0.129424,,暂无评级
325,华润元大现金收益货币B,货币型-普通货币,2013-10-29,0.1,,暂无评级
326,南方中小盘成长股票A,股票型,2015-10-28,4.62,,暂无评级
327,南方潜力新蓝筹混合A,混合型-偏股,2015-05-29,10.29,,暂无评级
328,摩根转型动力混合A,混合型-灵活,2013-11-25,1.62,,暂无评级
329,鹏华丰饶定开债,债券型-混合一级,2016-08-24,12.15,,暂无评级
330,汇添富现金宝货币A,货币型-普通货币,,,,
331,中加货币A,货币型-普通货币,2013-10-21,8.67,,暂无评级
332,中加货币C,货币型-普通货币,2013-10-21,97.02,,暂无评级
333,长城稳固收益债券A,债券型-混合二级,2015-01-28,0.088171,,暂无评级
334,长城稳固收益债券C,债券型-混合二级,2015-01-28,0.084614,,暂无评级
335,安信永利信用C,债券型-混合一级,2013-11-08,0.291012,,暂无评级
336,农银研究精选混合,混合型-灵活,2013-11-05,25.76,,暂无评级
338,鹏华双债保利债券B,债券型-混合二级,2013-09-18,34.17,,暂无评级
339,长城医疗保健混合A,混合型-偏股,2014-02-28,4.65,,暂无评级
341,嘉实新兴市场C2(QDII),QDII-纯债,2013-11-26,0.599788,,暂无评级
342,嘉实新兴市场A1(QDII),QDII-纯债,2013-11-26,21.91,,暂无评级
343,华夏财富宝货币A,货币型-普通货币,2013-10-25,1926.23,,暂无评级
345,鹏华丰融定开债,债券型-混合一级,2013-11-19,7.57,,暂无评级
346,建信安心回报6个月定开A,债券型-长债,2013-11-05,10.12,,暂无评级
347,建信安心回报6个月定开C,债券型-长债,2013-11-05,0.26101599999999997,,暂无评级
351,国富恒丰一年持有期债券A,债券型-长债,2013-11-20,1.6,,暂无评级
352,国富恒丰一年持有期债券C,债券型-长债,2013-11-20,0.19908599999999999,,暂无评级
354,长盛城镇化主题混合A,混合型-偏股,2013-11-12,0.541884,,暂无评级
355,南方丰元信用增强债券A,债券型-混合一级,2013-11-12,6.65,,暂无评级
356,南方丰元信用增强债券C,债券型-混合一级,2013-11-12,2.67,,暂无评级
359,易方达易理财货币A,货币型-普通货币,,,,
362,国泰聚信价值优势混合A,混合型-灵活,2013-12-17,15.02,,暂无评级
363,国泰聚信价值优势混合C,混合型-灵活,2013-12-17,8.57,,暂无评级
366,汇添富添富通货币A,货币型-普通货币,2013-12-10,298.63,,暂无评级
367,国泰安康定期支付混合A,混合型-偏债,2014-04-30,1.01,,暂无评级
368,汇添富沪深300安中指数A,指数型-股票,2013-11-06,38.56,,暂无评级
369,广发全球医疗保健指数人民币(QDII)A,指数型-海外股票,2013-12-10,10.36,,暂无评级
370,广发全球医疗保健美元现汇(QDII)A,指数型-海外股票,2013-12-10,10.36,,暂无评级
371,民生加银现金宝货币A,货币型-普通货币,,,,
372,中银惠利半年定期开放债券A,债券型-长债,2013-11-07,31.16,,暂无评级
373,华安中证细分医药ETF联接A,指数型-股票,2014-11-28,0.405671,,暂无评级
376,华安中证细分医药ETF联接C,指数型-股票,2014-11-28,0.716969,,暂无评级
377,摩根双债增利债券A,债券型-混合二级,2013-12-11,0.366561,,暂无评级
378,摩根双债增利债券C,债券型-混合二级,2013-12-11,0.043445,,暂无评级
379,平安日增利货币A,货币型-普通货币,2013-12-03,1960.89,,暂无评级
380,景顺长城景益货币A,货币型-普通货币,2013-11-26,1245.47,,暂无评级
381,景顺长城景益货币B,货币型-普通货币,2013-11-26,3.64,,暂无评级
385,景顺长城景颐双利债券A,债券型-混合二级,2013-11-13,131.52,,暂无评级
386,景顺长城景颐双利债券C,债券型-混合二级,2013-11-13,10.64,,暂无评级
389,广发天天红货币A,货币型-普通货币,2013-10-22,1615.86,,暂无评级
390,华商优势行业混合,混合型-灵活,2013-12-11,91.81,,暂无评级
394,融通通源短融债券A,债券型-中短债,2013-12-31,1.13,,暂无评级
395,汇添富安心中国债券A,债券型-长债,2013-11-22,8.51,,暂无评级
396,汇添富安心中国债券C,债券型-长债,2013-11-22,0.406949,,暂无评级
397,汇添富全额宝货币A,货币型-普通货币,,,,
398,华富灵活配置混合A,混合型-灵活,2013-12-18,0.78276,,暂无评级
402,工银纯债债券A,债券型-长债,2014-05-16,74.65,,暂无评级
403,工银纯债债券B,债券型-长债,2014-05-16,12.43,,暂无评级
404,易方达新兴成长灵活配置,混合型-灵活,2013-11-28,34.31,,暂无评级
406,汇添富双利增强债券A,债券型-混合二级,2013-12-03,8.85,,暂无评级
407,汇添富双利增强债券C,债券型-混合二级,2013-12-03,0.7791100000000001,,暂无评级
408,民生加银城镇化混合A,混合型-灵活,2013-12-12,3.69,,暂无评级
409,鹏华环保产业股票,股票型,2014-03-07,17.95,,暂无评级
410,益民服务领先混合A,混合型-灵活,2013-12-13,2.24,,暂无评级
411,景顺长城优质成长股票A,股票型,2014-01-02,2.22,,暂无评级
414,嘉实绝对收益策略定期混合A,混合型-绝对收益,2013-12-06,0.9406610000000001,,暂无评级
415,大摩添利18个月定开债A,债券型-长债,2014-09-02,3.43,,暂无评级
416,大摩添利18个月定开债C,债券型-长债,2014-09-02,0.553668,,暂无评级
417,国联安新精选混合A,混合型-灵活,2014-03-04,0.46752299999999997,,暂无评级
418,景顺长城成长之星股票A,股票型,2013-12-13,25.78,,暂无评级
419,大摩优质信价纯债A,债券型-长债,2014-11-25,0.644806,,暂无评级
420,大摩优质信价纯债C,债券型-长债,2014-11-25,0.426512,,暂无评级
423,前海开源事件驱动混合A,混合型-灵活,2013-12-19,0.41826499999999994,,暂无评级
424,长盛添利宝货币A,货币型-普通货币,2013-12-09,297.47,,暂无评级
425,长盛添利宝货币B,货币型-普通货币,2013-12-09,1.32,,暂无评级
431,鹏华品牌传承混合,混合型-灵活,2014-01-28,2.58,,暂无评级
432,中银优秀企业混合,混合型-偏股,2014-01-28,0.144584,,暂无评级
433,安信鑫发优选混合A,混合型-灵活,2013-12-31,0.512662,,暂无评级
434,新华壹诺宝货币A,货币型-普通货币,2013-12-03,42.88,,暂无评级
436,易方达裕惠定开混合A,混合型-偏债,2013-12-17,11.31,,暂无评级
452,南方医药保健灵活配置混合A,混合型-灵活,2014-01-23,32.43,,暂无评级
457,摩根核心成长股票A,股票型,2014-02-10,7.9,,暂无评级
458,英大领先回报混合发起式,混合型-灵活,2014-03-05,0.696129,,暂无评级
459,英大领先回报混合发起式(后端),混合型-灵活,,,,
462,农银主题轮动混合A,混合型-灵活,2015-04-10,4.78,,暂无评级
464,嘉实活期宝货币A,货币型-普通货币,2013-12-18,108.51,,暂无评级
465,景顺长城鑫月薪定期支付债券,债券型-长债,2014-03-20,15.74,,暂无评级
469,富国目标齐利一年期纯债债券,债券型-长债,2014-07-25,21.13,,暂无评级
470,富国目标齐利一年期纯债债券(后端),债券型-长债,,,,
471,富国城镇发展股票,股票型,2014-01-28,12.18,,暂无评级
472,富国城镇发展股票(后端),股票型,,,,
475,广发天天利货币A,货币型-普通货币,2014-01-27,3.35,,暂无评级
476,广发天天利货币B,货币型-普通货币,2014-01-27,0.397729,,暂无评级
477,广发主题领先混合A,混合型-灵活,2014-07-31,21.33,,暂无评级
478,建信中证500指数增强A,指数型-股票,2014-01-27,44.68,,暂无评级
480,东方红新动力混合A,混合型-灵活,2014-01-28,21.08,,暂无评级
483,鑫元货币A,货币型-普通货币,2013-12-30,1.63,,暂无评级
484,鑫元货币B,货币型-普通货币,2013-12-30,49.12,,暂无评级
487,嘉实3个月理财债券A,债券型-中短债,2014-06-27,2.62,,暂无评级
488,嘉实3个月理财债券E,债券型-中短债,2014-06-27,15.98,,暂无评级
493,南方现金通A,货币型-普通货币,,,,
494,南方现金通B,货币型-普通货币,,,,
495,南方现金通C,货币型-普通货币,,,,
496,长安产业精选混合A,混合型-灵活,2014-05-07,0.24082699999999999,,暂无评级
497,财通纯债债券A,债券型-长债,2014-01-17,9.95,,暂无评级
503,中信建投景和中短债A,债券型-中短债,2014-01-27,8.3,,暂无评级
504,中信建投景和中短债C,债券型-中短债,2014-01-27,4.74,,暂无评级
505,国寿安保货币A,货币型-普通货币,2014-01-20,657.16,,暂无评级
506,国寿安保货币B,货币型-普通货币,2014-01-20,0.50945,,暂无评级
507,宏利宏达混合A,混合型-偏债,2014-03-05,0.47912,,暂无评级
508,宏利宏达混合B,混合型-偏债,2014-03-05,0.08544299999999999,,暂无评级
509,广发钱袋子货币A,货币型-普通货币,2014-01-10,912.07,,暂无评级
511,国泰国策驱动灵活配置混合A,混合型-灵活,2014-02-17,0.231055,,暂无评级
512,国泰沪深300指数增强A,指数型-股票,2014-05-19,2.42,,暂无评级
513,富国高端制造行业股票A,股票型,2014-06-20,5.8,,暂无评级
514,富国高端制造行业股票A(后端),股票型,,,,
516,富国祥利一年期定期开放债券型A,债券型-长债,2017-08-30,37.97,,暂无评级
517,富国祥利一年期定期开放债券型C,债券型-长债,2017-08-30,0.007348,,暂无评级
520,上银新兴价值成长混合,混合型-灵活,2014-05-06,2.13,,暂无评级
521,诺安瑞鑫定开债券,债券型-长债,2017-12-28,8.29,,暂无评级
522,华润元大信息传媒科技混合A,混合型-偏股,2014-03-31,2.0,,暂无评级
523,国投瑞银医疗保健混合A,混合型-灵活,2014-02-25,2.13,,暂无评级
524,摩根民生需求股票A,股票型,2014-03-14,1.08,,暂无评级
526,国泰浓益灵活配置混合A,混合型-灵活,2014-03-04,0.443694,,暂无评级
527,南方新优享灵活配置混合A,混合型-灵活,2014-02-26,30.67,,暂无评级
528,工银薪金货币A,货币型-普通货币,,,,
529,广发竞争优势混合A,混合型-灵活,2014-03-12,6.0,,暂无评级
530,招商丰盛稳定增长混合A,混合型-灵活,2014-03-20,0.251125,,暂无评级
