基金代码,基金简称,基金类型,成立时间,最新规模,股票,债券,现金,其他
000185,工银添福债券B,债券型-混合二级,2013-10-31,0.126435,15.78,109.33,4.06,3.2
000186,华泰柏瑞季季红债券A,债券型-混合一级,2013-11-13,76.93,0,114.2,0.01,0.03
000187,华泰柏瑞丰盛纯债债券A,债券型-长债,2013-09-02,9.94,0,134.08,0.08,0.07
000188,华泰柏瑞丰盛纯债债券C,债券型-长债,2013-09-02,2.98,0,134.08,0.08,0.07
000189,易方达丰华债券A,债券型-混合二级,2016-01-13,25.92,16.38,109.34,0.41,6.85
000190,中银新回报灵活配置混合A,混合型-灵活,2013-09-10,14.09,9.53,124.05,4.24,1.47
000191,富国信用债债券A/B,债券型-长债,2013-06-25,144.87,0,101.7,0.15,4.18
000192,富国信用债债券C,债券型-长债,2013-06-25,17.65,0,101.7,0.15,4.18
000194,银华信用四季红债券A,债券型-长债,2013-08-07,7.23,0,131.62,24.89,0.11
000195,工银成长收益混合A,混合型-灵活,2013-06-26,0.661137,62.68,18.83,4.64,19.0
000196,工银成长收益混合B,混合型-灵活,2013-06-26,0.553447,62.68,18.83,4.64,19.0
000197,富国目标收益一年期纯债债券,债券型-长债,2013-06-27,20.87,0,121.53,2.25,0.02
000198,天弘余额宝货币,货币型-普通货币,,,0,10.51,70.71,24.06
000199,国泰量化策略收益混合A,混合型-偏股,2015-01-16,2.06,91.69,2.51,5.51,0.49
000200,博时岁岁增利一年持有期债券A,债券型-中短债,2013-06-26,48.69,0,107.54,0.1,2.87
000201,诺安泰鑫一年定期开放债券A,债券型-长债,2013-11-05,0.527462,0,104.61,0.68,0.0
000203,国富日日收益货币A,货币型-普通货币,2013-07-24,67.31,0,62.44,25.91,19.71
000204,国富日日收益货币B,货币型-普通货币,2013-07-24,4.47,0,62.44,25.91,19.71
000205,易方达投资级信用债债券A,债券型-长债,2013-09-10,35.79,0,92.74,0.04,11.07
000206,易方达投资级信用债债券C,债券型-长债,2013-09-10,12.3,0,92.74,0.04,11.07
000207,建信双债增强债券A,债券型-混合一级,2013-07-25,0.123213,0,92.39,1.13,6.86
000208,建信双债增强债券C,债券型-混合一级,2013-07-25,0.127356,0,92.39,1.13,6.86
000209,中信保诚新兴产业混合A,混合型-偏股,2013-07-17,21.94,73.44,0,19.71,12.87
000210,光大现金宝货币A,货币型-普通货币,2013-09-05,1.08,0,46.07,33.93,20.63
000211,光大现金宝货币B,货币型-普通货币,2013-09-05,0.8646860000000001,0,46.07,33.93,20.63
000212,泰信鑫益定期开放A,债券型-长债,2013-07-17,5.61,0,97.42,0.5,8.77
000213,泰信鑫益定期开放C,债券型-长债,2013-07-17,0.133185,0,97.42,0.5,8.77
000214,广发成长优选混合,混合型-灵活,2013-12-11,1.75,91.02,6.05,0.92,2.46
000215,广发趋势优选灵活配置混合A,混合型-灵活,2013-09-11,11.12,17.88,78.15,0.54,4.21
000216,华安黄金易ETF联接A,指数型-其他,2013-08-22,28.72,0,0.28,8.35,93.82
000217,华安黄金易ETF联接C,指数型-其他,2013-08-22,82.1,0,0.28,8.35,93.82
000218,国泰黄金ETF联接A,指数型-其他,2016-04-13,25.37,0,0,6.33,97.3
000219,博时裕益混合,混合型-灵活,2013-07-29,1.14,58.0,21.82,10.81,11.94
000220,富国医疗保健行业混合A,混合型-偏股,2013-08-07,10.48,94.4,0,5.69,0.21
000221,汇添富年年利定期开放债券A,债券型-混合一级,2013-09-06,19.82,0,84.22,0.29,16.29
000222,汇添富年年利定期开放债券C,债券型-混合一级,2013-09-06,0.1100579999999999,0,84.22,0.29,16.29
000227,华安年年红债券A,债券型-混合一级,2013-11-14,1.26,0,74.43,0.39,25.31
000235,诺安稳固收益一年定期开放债券A,债券型-长债,2013-08-21,0.539219,0,152.02,0.9,0.07
000236,工银月月薪定期支付债券A,债券型-混合二级,2013-08-14,2.21,20.0,81.38,1.07,1.18
000239,华安年年盈定开债A,债券型-混合一级,2015-02-03,0.5174479999999999,0,55.6,3.55,41.36
000240,华安年年盈定开债C,债券型-混合一级,2015-02-03,0.0492779999999999,0,55.6,3.55,41.36
000241,宝盈核心优势混合C,混合型-灵活,2013-08-01,0.146587,40.6,16.38,34.74,9.15
000242,景顺长城策略精选灵活配置混合A,混合型-灵活,2013-08-07,42.03,91.23,4.56,3.88,0.99
000244,天弘稳利定期开放A,债券型-混合一级,2013-07-19,10.82,0,177.3,3.67,0.02
000245,天弘稳利定期开放B,债券型-混合一级,2013-07-19,0.118422,0,177.3,3.67,0.02
000248,汇添富中证主要消费ETF联接A,指数型-股票,2015-03-24,42.44,0.1,0.11,5.0,96.61
000251,工银金融地产混合A,混合型-偏股,2013-08-26,24.54,92.84,4.85,3.06,0.37
000252,景顺长城景兴信用纯债债券A,债券型-长债,2013-08-26,36.68,0,124.35,0.03,0.23
000253,景顺长城景兴信用纯债债券C,债券型-长债,2013-08-26,0.571588,0,124.35,0.03,0.23
000254,长城增强收益定期开放债券A,债券型-混合一级,2013-09-06,0.907217,0,105.67,5.88,0.0
000255,长城增强收益定期开放债券C,债券型-混合一级,2013-09-06,0.4523029999999999,0,105.67,5.88,0.0
000259,农银区间收益混合,混合型-灵活,2013-08-21,3.81,83.91,9.32,6.98,0.09
000263,工银信息产业混合A,混合型-偏股,2013-11-11,9.82,81.5,6.15,12.51,0.1
000264,博时内需增长混合A,混合型-灵活,2013-07-15,1.51,79.73,19.59,2.05,0.1
000265,易方达恒久添利1年定开债A,债券型-长债,2014-09-10,15.76,0,109.71,0.51,0.43
000266,易方达恒久添利1年定开债C,债券型-长债,2014-09-10,4.48,0,109.71,0.51,0.43
000267,广发集利一年定开债A,债券型-长债,2013-08-21,2.78,0,175.68,1.11,0.0
000268,广发集利一年定开债C,债券型-长债,2013-08-21,0.73112,0,175.68,1.11,0.0
000270,建信灵活配置混合A,混合型-灵活,2013-09-03,0.427058,89.84,0,7.02,4.86
000271,中邮定开债券A,债券型-长债,2013-11-05,5.19,0,127.56,0.68,0.0
000272,中邮定开债券C,债券型-长债,2013-11-05,0.218144,0,127.56,0.68,0.0
000273,华润元大安鑫灵活配置混合A,混合型-灵活,2013-09-11,0.06737,87.46,2.96,7.39,5.69
000274,广发亚太中高收益债(QDII)A,QDII-纯债,2013-11-28,0.753552,0,90.34,16.91,4.08
000275,广发亚太中高收益债美元现汇(QDII)A,QDII-纯债,2013-11-28,0.753552,0,90.34,16.91,4.08
000277,博时双月薪定期支付债券,债券型-长债,2013-10-22,3.65,0,121.17,0.94,0.0
000279,华商红利优选混合,混合型-灵活,2013-09-17,2.31,67.93,13.84,18.54,0.11
000286,银华信用季季红债券A,债券型-混合一级,2013-09-18,17.95,0,134.2,2.33,0.73
000289,鹏华丰泰定开债A,债券型-混合一级,2013-09-24,5.38,0,108.26,13.0,0.0
000290,鹏华全球高收益债(QDII),QDII-纯债,2013-10-22,5.97,0,92.15,9.9,12.38
000294,华安生态优先混合A,混合型-偏股,2013-11-28,15.99,82.21,0,12.87,5.82
000295,鹏华丰实定期开放债券A,债券型-混合一级,2013-09-10,19.79,0,116.92,0.77,0
000296,鹏华丰实定期开放债券B,债券型-混合一级,2013-09-10,0.046237,0,116.92,0.77,0
000297,鹏华可转债债券A,债券型-混合二级,2015-02-03,38.68,19.85,86.39,3.83,2.54
000298,中海纯债债券A,债券型-长债,2014-04-23,6.83,0,92.92,0.94,13.48
000299,中海纯债债券C,债券型-长债,2014-04-23,0.073571,0,92.92,0.94,13.48
000300,德邦德利货币A,货币型-普通货币,2013-09-16,23.67,0,73.25,1.39,34.99
000301,德邦德利货币B,货币型-普通货币,2013-09-16,7.71,0,73.25,1.39,34.99
000305,中银中高等级债券A,债券型-长债,2013-12-05,27.73,0,110.12,3.53,4.21
000306,天弘弘利债券A,债券型-混合二级,2013-09-11,31.15,0,94.54,13.2,5.47
000307,易方达黄金ETF联接A,指数型-其他,2016-05-26,19.58,0,1.99,5.23,94.66
000308,建信创新中国混合,混合型-偏股,2013-09-24,7.39,90.82,0,9.39,0.02
000309,大摩品质生活精选股票A,股票型,2013-10-29,2.84,93.31,0,5.55,1.48
000310,安信永利信用A,债券型-混合一级,2013-11-08,0.387563,0,126.9,3.5,0.02
000311,景顺长城沪深300指数增强A,指数型-股票,2013-10-29,48.64,91.51,2.51,4.49,1.94
000312,华安沪深300增强A,指数型-股票,2013-09-27,6.01,93.65,0.54,4.9,1.79
000313,华安沪深300增强C,指数型-股票,2013-09-27,3.92,93.65,0.54,4.9,1.79
000314,招商瑞丰灵活配置混合发起式A,混合型-灵活,2013-11-06,1.22,94.5,6.2,0.66,0.12
000319,宏利淘利债券A,债券型-混合一级,2014-08-06,17.8,0,122.37,0.45,0.29
000320,宏利淘利债券C,债券型-混合一级,2014-08-06,3.16,0,122.37,0.45,0.29
000322,农银汇理金汇债券A,债券型-长债,2013-12-18,6.7,0,102.66,0.35,4.07
000324,华润元大现金收益货币A,货币型-普通货币,2013-10-29,0.129424,0,0,100.14,0
000325,华润元大现金收益货币B,货币型-普通货币,2013-10-29,0.1,0,0,100.14,0
000326,南方中小盘成长股票A,股票型,2015-10-28,4.62,86.87,5.2,3.2,7.15
000327,南方潜力新蓝筹混合A,混合型-偏股,2015-05-29,10.29,92.39,4.19,4.55,0.05
000328,摩根转型动力混合A,混合型-灵活,2013-11-25,1.62,83.74,0,16.64,0.04
000329,鹏华丰饶定开债,债券型-混合一级,2016-08-24,12.15,0,117.92,2.29,4.93
000330,汇添富现金宝货币A,货币型-普通货币,,,0,31.67,54.59,23.08
000331,中加货币A,货币型-普通货币,2013-10-21,8.67,0,47.2,13.41,39.43
000332,中加货币C,货币型-普通货币,2013-10-21,97.02,0,47.2,13.41,39.43
000333,长城稳固收益债券A,债券型-混合二级,2015-01-28,0.088171,0,101.29,0.6,0.78
000334,长城稳固收益债券C,债券型-混合二级,2015-01-28,0.084614,0,101.29,0.6,0.78
000335,安信永利信用C,债券型-混合一级,2013-11-08,0.291012,0,126.9,3.5,0.02
000336,农银研究精选混合,混合型-灵活,2013-11-05,25.76,77.25,0,15.69,8.88
000338,鹏华双债保利债券B,债券型-混合二级,2013-09-18,34.17,23.38,97.65,1.96,0.01
000339,长城医疗保健混合A,混合型-偏股,2014-02-28,4.65,92.33,0.13,8.33,0.14
000341,嘉实新兴市场C2(QDII),QDII-纯债,2013-11-26,0.599788,0,101.5,1.71,0.74
000342,嘉实新兴市场A1(QDII),QDII-纯债,2013-11-26,21.91,0,101.5,1.71,0.74
000343,华夏财富宝货币A,货币型-普通货币,2013-10-25,1926.23,0,20.18,44.19,40.03
000345,鹏华丰融定开债,债券型-混合一级,2013-11-19,7.57,0,112.7,1.31,1.32
000346,建信安心回报6个月定开A,债券型-长债,2013-11-05,10.12,0,51.78,43.93,4.37
000347,建信安心回报6个月定开C,债券型-长债,2013-11-05,0.2610159999999999,0,51.78,43.93,4.37
000351,国富恒丰一年持有期债券A,债券型-长债,2013-11-20,1.6,0,86.77,5.92,27.57
000352,国富恒丰一年持有期债券C,债券型-长债,2013-11-20,0.1990859999999999,0,86.77,5.92,27.57
000354,长盛城镇化主题混合A,混合型-偏股,2013-11-12,0.541884,94.62,0,6.62,4.32
000355,南方丰元信用增强债券A,债券型-混合一级,2013-11-12,6.65,0,132.81,0.11,0.02
000356,南方丰元信用增强债券C,债券型-混合一级,2013-11-12,2.67,0,132.81,0.11,0.02
000359,易方达易理财货币A,货币型-普通货币,,,0,24.75,43.81,42.76
000362,国泰聚信价值优势混合A,混合型-灵活,2013-12-17,15.02,89.87,5.36,0.91,4.22
000363,国泰聚信价值优势混合C,混合型-灵活,2013-12-17,8.57,89.87,5.36,0.91,4.22
000366,汇添富添富通货币A,货币型-普通货币,2013-12-10,298.63,0,33.11,54.14,21.08
000367,国泰安康定期支付混合A,混合型-偏债,2014-04-30,1.01,24.11,82.03,2.3,4.36
000368,汇添富沪深300安中指数A,指数型-股票,2013-11-06,38.56,94.08,1.12,4.47,4.94
000369,广发全球医疗保健指数人民币(QDII)A,指数型-海外股票,2013-12-10,10.36,84.94,0,10.1,6.65
000370,广发全球医疗保健美元现汇(QDII)A,指数型-海外股票,2013-12-10,10.36,84.94,0,10.1,6.65
000371,民生加银现金宝货币A,货币型-普通货币,,,0,79.04,31.67,9.69
000372,中银惠利半年定期开放债券A,债券型-长债,2013-11-07,31.16,0,123.52,1.03,0.24
000373,华安中证细分医药ETF联接A,指数型-股票,2014-11-28,0.405671,0,0,5.46,95.6
000376,华安中证细分医药ETF联接C,指数型-股票,2014-11-28,0.716969,0,0,5.46,95.6
000377,摩根双债增利债券A,债券型-混合二级,2013-12-11,0.366561,22.32,90.2,3.55,0.11
000378,摩根双债增利债券C,债券型-混合二级,2013-12-11,0.043445,22.32,90.2,3.55,0.11
000379,平安日增利货币A,货币型-普通货币,2013-12-03,1960.89,0,31.81,34.82,36.16
000380,景顺长城景益货币A,货币型-普通货币,2013-11-26,1245.47,0,20.47,61.61,23.88
000381,景顺长城景益货币B,货币型-普通货币,2013-11-26,3.64,0,20.47,61.61,23.88
000385,景顺长城景颐双利债券A,债券型-混合二级,2013-11-13,131.52,19.89,98.49,0.71,4.76
000386,景顺长城景颐双利债券C,债券型-混合二级,2013-11-13,10.64,19.89,98.49,0.71,4.76
000389,广发天天红货币A,货币型-普通货币,2013-10-22,1615.86,0,32.23,61.48,8.56
000390,华商优势行业混合,混合型-灵活,2013-12-11,91.81,84.49,0.02,15.55,0.15
000394,融通通源短融债券A,债券型-中短债,2013-12-31,1.13,0,104.49,4.18,6.57
000395,汇添富安心中国债券A,债券型-长债,2013-11-22,8.51,0,94.24,0.19,5.6
000396,汇添富安心中国债券C,债券型-长债,2013-11-22,0.406949,0,94.24,0.19,5.6
000397,汇添富全额宝货币A,货币型-普通货币,,,0,37.37,46.68,21.29
000398,华富灵活配置混合A,混合型-灵活,2013-12-18,0.78276,94.57,0,5.71,0.7
000402,工银纯债债券A,债券型-长债,2014-05-16,74.65,0,110.54,0.15,1.17
000403,工银纯债债券B,债券型-长债,2014-05-16,12.43,0,110.54,0.15,1.17
000404,易方达新兴成长灵活配置,混合型-灵活,2013-11-28,34.31,90.72,0,12.91,1.18
000406,汇添富双利增强债券A,债券型-混合二级,2013-12-03,8.85,8.87,115.68,4.5,2.0
000407,汇添富双利增强债券C,债券型-混合二级,2013-12-03,0.7791100000000001,8.87,115.68,4.5,2.0
000408,民生加银城镇化混合A,混合型-灵活,2013-12-12,3.69,83.79,0.48,18.4,4.0
000409,鹏华环保产业股票,股票型,2014-03-07,17.95,86.61,0,13.24,0.52
000410,益民服务领先混合A,混合型-灵活,2013-12-13,2.24,0,87.28,10.25,2.62
000411,景顺长城优质成长股票A,股票型,2014-01-02,2.22,90.89,0,8.85,0.91
000414,嘉实绝对收益策略定期混合A,混合型-绝对收益,2013-12-06,0.940661,79.38,0,7.5,13.54
