基金代码,基金简称,基金类型,成立时间,最新规模,股票,债券,现金,其他
32,易方达信用债债券A,债券型-长债,2013-04-24 00:00:00,100.81,0.0,107.89,0.52,5.63
33,易方达信用债债券C,债券型-长债,2013-04-24 00:00:00,59.19,0.0,107.89,0.52,5.63
37,广发景宁债券A,债券型-长债,2013-06-20 00:00:00,123.48,0.0,120.92,0.06,1.18
39,农银高增长混合,混合型-偏股,2013-03-26 00:00:00,2.47,83.42,2.88,6.56,7.94
41,华夏全球股票(QDII)(人民币),QDII-普通股票,2007-10-09 00:00:00,21.53,81.36,0.0,9.12,10.8
42,财通中证ESG100指数增强A,指数型-股票,2013-03-22 00:00:00,0.713192,94.11,0.0,6.44,0.65
43,嘉实美国成长股票人民币,QDII-普通股票,2013-06-14 00:00:00,39.8,92.17,0.0,7.07,4.32
44,嘉实美国成长股票美元现汇,QDII-普通股票,2013-06-14 00:00:00,1.2,92.17,0.0,7.07,4.32
45,工银产业债债券A,债券型-混合二级,2013-03-29 00:00:00,41.18,17.46,104.26,1.67,3.8
46,工银产业债债券B,债券型-混合二级,2013-03-29 00:00:00,1.5,17.46,104.26,1.67,3.8
47,华夏双债债券A,债券型-混合一级,2013-03-14 00:00:00,3.21,0.0,110.93,5.91,0.04
48,华夏双债债券C,债券型-混合一级,2013-03-14 00:00:00,1.22,0.0,110.93,5.91,0.04
51,华夏沪深300ETF联接A,指数型-股票,2009-07-10 00:00:00,109.29,1.61,2.64,3.35,93.88
53,鹏华永诚一年定开债券,债券型-长债,2013-05-03 00:00:00,10.05,0.0,106.36,0.67,12.95
54,鹏华双债增利债券A,债券型-混合二级,2013-03-13 00:00:00,10.74,20.27,96.06,10.49,4.63
55,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票,2015-01-16 00:00:00,76.74,0.0,0.0,7.22,95.75
56,建信消费升级混合,混合型-灵活,2013-06-14 00:00:00,0.530913,88.79,0.0,14.08,0.07
57,中银消费主题混合A,混合型-偏股,2013-04-25 00:00:00,0.493168,89.79,7.5,2.38,3.97
58,国联安安泰灵活配置混合,混合型-灵活,2013-04-23 00:00:00,3.77,33.33,56.47,26.45,3.8
59,国联安中证医药100A,指数型-股票,2013-08-21 00:00:00,1.82,94.96,0.0,6.11,0.48
61,华夏盛世混合,混合型-偏股,2009-12-11 00:00:00,10.13,92.77,1.98,7.35,0.07
63,长盛电子信息主题灵活配置混合,混合型-灵活,2013-05-10 00:00:00,2.58,67.62,0.0,34.46,0.17
64,大摩18个月定开债C,债券型-长债,2013-06-25 00:00:00,2.04,0.0,168.81,4.89,0.02
65,国富焦点驱动混合A,混合型-灵活,2013-05-07 00:00:00,0.617487,8.86,84.26,6.07,1.81
66,诺安鸿鑫混合A,混合型-偏股,2013-05-03 00:00:00,0.4429619999999999,93.98,0.0,12.54,0.2
67,民生加银转债优选A,债券型-混合二级,2013-04-18 00:00:00,0.708863,19.95,111.02,2.1,7.54
68,民生加银转债优选C,债券型-混合二级,2013-04-18 00:00:00,0.976039,19.95,111.02,2.1,7.54
69,国投瑞银中高等级债券A,债券型-混合一级,2013-05-14 00:00:00,8.86,0.0,118.43,5.27,0.53
70,国投瑞银中高等级债券C,债券型-混合一级,2013-05-14 00:00:00,1.01,0.0,118.43,5.27,0.53
71,华夏恒生ETF联接A,指数型-海外股票,2012-08-21 00:00:00,60.05,0.0,0.0,7.62,93.72
72,华安稳健回报混合A,混合型-灵活,2013-05-14 00:00:00,1.11,12.9,93.08,0.58,0.01
73,摩根成长动力混合A,混合型-灵活,2013-05-15 00:00:00,2.09,87.72,0.0,12.74,0.6
74,工银信用纯债一年定开债A,债券型-长债,2013-05-22 00:00:00,8.9,0.0,116.78,5.11,10.55
75,华夏恒生ETF联接现汇,指数型-海外股票,2012-08-21 00:00:00,60.05,0.0,0.0,7.62,93.72
76,华夏恒生ETF联接现钞,指数型-海外股票,2012-08-21 00:00:00,60.05,0.0,0.0,7.62,93.72
77,工银信用纯债一年定开债C,债券型-长债,2013-05-22 00:00:00,0.4099649999999999,0.0,116.78,5.11,10.55
78,工银信用纯债三个月定开债A,债券型-长债,2013-06-24 00:00:00,26.07,0.0,121.3,0.52,19.09
79,工银信用纯债三个月定开债C,债券型-长债,2013-06-24 00:00:00,0.0879809999999999,0.0,121.3,0.52,19.09
80,天治可转债增强债券A,债券型-混合二级,2013-06-04 00:00:00,0.163395,0.0,131.36,3.7,0.02
81,天治可转债增强债券C,债券型-混合二级,2013-06-04 00:00:00,0.422295,0.0,131.36,3.7,0.02
82,嘉实研究阿尔法股票A,股票型,2013-05-28 00:00:00,6.45,91.24,0.0,8.75,0.3
83,汇添富消费行业混合,混合型-偏股,2013-05-03 00:00:00,133.78,87.02,2.65,8.6,2.49
84,博时安盈债券A,债券型-中短债,2013-04-23 00:00:00,33.95,0.0,111.68,0.12,10.18
85,博时安盈债券C,债券型-中短债,2013-04-23 00:00:00,16.19,0.0,111.68,0.12,10.18
86,南方稳利1年持有期债券A,债券型-长债,2013-07-23 00:00:00,15.69,0.0,131.77,1.09,0.07
89,民生加银高等级信用债C,债券型-中短债,2013-04-25 00:00:00,6.09,0.0,137.03,0.4,0.01
90,民生加银高等级信用债A,债券型-中短债,2013-04-25 00:00:00,3.22,0.0,137.03,0.4,0.01
103,国泰中国企业境外高收益债,QDII-纯债,2013-04-26 00:00:00,1.02,0.0,91.66,7.43,1.99
104,华宸未来稳健添利债券A,债券型-混合一级,2013-08-20 00:00:00,0.984829,0.0,89.4,3.39,11.33
105,建信安心回报债券A,债券型-长债,2013-05-14 00:00:00,19.82,0.0,98.11,1.52,0.42
106,建信安心回报债券C,债券型-长债,2013-05-14 00:00:00,0.15098,0.0,98.11,1.52,0.42
107,富国稳健增强债券A/B,债券型-混合二级,2013-05-21 00:00:00,42.21,14.58,93.38,0.78,1.2
109,富国稳健增强债券C,债券型-混合二级,2013-05-21 00:00:00,8.61,14.58,93.38,0.78,1.2
110,金鹰元安混合A,混合型-偏债,2013-05-20 00:00:00,0.150918,21.06,75.32,4.24,3.63
111,易方达纯债1年定开债A,债券型-长债,2013-07-30 00:00:00,19.35,0.0,132.42,1.89,11.62
112,易方达纯债1年定开债C,债券型-长债,2013-07-30 00:00:00,0.077774,0.0,132.42,1.89,11.62
116,嘉实丰益纯债定期债券A,债券型-长债,2013-05-21 00:00:00,10.09,0.0,124.38,0.16,0.0
117,广发轮动配置混合,混合型-偏股,2013-05-28 00:00:00,2.93,91.81,0.0,6.69,1.69
118,广发聚鑫债券A,债券型-混合二级,2013-06-05 00:00:00,69.94,21.25,99.89,0.69,4.67
119,广发聚鑫债券C,债券型-混合二级,2013-06-05 00:00:00,6.97,21.25,99.89,0.69,4.67
120,中银美丽中国混合,混合型-偏股,2013-06-07 00:00:00,0.380236,88.52,4.77,23.0,0.99
121,华夏永福混合A,混合型-偏债,2013-08-13 00:00:00,9.28,29.51,80.94,1.24,7.06
122,汇添富实业债债券A,债券型-混合一级,2013-06-14 00:00:00,22.82,0.0,107.85,2.66,1.7
123,汇添富实业债债券C,债券型-混合一级,2013-06-14 00:00:00,1.27,0.0,107.85,2.66,1.7
124,华宝服务优选混合,混合型-偏股,2013-06-27 00:00:00,5.98,91.11,0.0,10.79,0.91
126,招商安润灵活配置混合A,混合型-灵活,2013-04-19 00:00:00,4.09,90.13,0.0,6.39,4.06
127,农银行业领先混合,混合型-偏股,2013-06-25 00:00:00,8.34,65.86,2.34,3.17,29.0
128,大成景安短融债券A,债券型-中短债,2013-05-24 00:00:00,5.07,0.0,88.82,0.44,10.79
129,大成景安短融债券B,债券型-中短债,2013-05-24 00:00:00,9.03,0.0,88.82,0.44,10.79
130,大成景兴信用债债券A,债券型-混合一级,2013-06-04 00:00:00,0.890337,0.0,68.89,6.65,26.71
131,大成景兴信用债债券C,债券型-混合一级,2013-06-04 00:00:00,0.694661,0.0,68.89,6.65,26.71
134,中信保诚嘉鸿债券A,债券型-长债,2017-05-25 00:00:00,77.8,0.0,94.95,0.0,5.07
135,中信保诚嘉鸿债券C,债券型-长债,2017-05-25 00:00:00,0.0,0.0,94.95,0.0,5.07
136,民生加银策略精选混合A,混合型-灵活,2013-06-07 00:00:00,15.41,73.96,5.34,18.46,3.31
137,民生加银岁岁增利债券A,债券型-长债,2013-08-01 00:00:00,12.71,0.0,99.34,0.71,0.0
138,民生加银岁岁增利债券C,债券型-长债,2013-08-01 00:00:00,0.083128,0.0,99.34,0.71,0.0
139,富国国有企业债债券A/B,债券型-长债,2013-09-25 00:00:00,8.38,0.0,111.0,0.56,0.43
141,富国国有企业债债券C,债券型-长债,2013-09-25 00:00:00,123.94,0.0,111.0,0.56,0.43
142,融通增强收益债券A,债券型-混合二级,2013-05-30 00:00:00,42.38,14.79,107.83,0.59,6.56
143,鹏华双债加利债券A,债券型-混合二级,2013-05-27 00:00:00,22.17,20.91,97.39,3.22,5.12
147,易方达高等级信用债债券A,债券型-长债,2013-08-23 00:00:00,15.8,0.0,93.53,0.11,7.93
148,易方达高等级信用债债券C,债券型-长债,2013-08-23 00:00:00,8.82,0.0,93.53,0.11,7.93
149,华安双债添利债券A,债券型-混合一级,2013-06-14 00:00:00,0.414001,0.0,93.67,0.14,6.55
150,华安双债添利债券C,债券型-混合一级,2013-06-14 00:00:00,0.313869,0.0,93.67,0.14,6.55
152,大成景旭纯债债券A,债券型-长债,2013-07-23 00:00:00,0.1100319999999999,0.0,115.16,1.18,0.0
153,大成景旭纯债债券C,债券型-长债,2013-07-23 00:00:00,0.085982,0.0,115.16,1.18,0.0
165,国投瑞银策略精选混合,混合型-灵活,2013-09-27 00:00:00,9.62,86.24,5.21,10.33,2.99
166,中海信息产业混合A,混合型-偏股,2013-07-31 00:00:00,0.5810270000000001,92.62,0.0,9.38,0.38
167,广发聚优灵活配置混合A,混合型-灵活,2013-09-11 00:00:00,2.64,92.9,0.5,6.48,0.45
171,易方达裕丰回报债券A,债券型-混合二级,2013-08-23 00:00:00,178.65,17.04,115.31,0.86,2.83
172,华泰柏瑞量化增强混合A,混合型-偏股,2013-08-02 00:00:00,18.59,87.43,0.0,7.43,5.38
173,汇添富美丽30混合A,混合型-偏股,2013-06-25 00:00:00,12.56,87.83,0.0,9.37,4.24
174,汇添富高息债债券A,债券型-混合一级,2013-06-27 00:00:00,2.1,0.0,130.76,20.55,0.01
175,汇添富高息债债券C,债券型-混合一级,2013-06-27 00:00:00,1.41,0.0,130.76,20.55,0.01
176,嘉实沪深300指数研究增强A,指数型-股票,2014-12-26 00:00:00,15.54,93.01,0.02,7.16,0.57
179,广发美国房地产指数人民币(QDII)A,指数型-海外股票,2013-08-09 00:00:00,1.43,0.0,0.0,9.8,94.06
180,广发美国房地产指数美元现汇(QDII)A,指数型-海外股票,2013-08-09 00:00:00,1.43,0.0,0.0,9.8,94.06
181,景顺长城四季金利债券A,债券型-混合二级,2013-07-30 00:00:00,25.88,0.0,119.24,1.01,6.35
182,景顺长城四季金利债券C,债券型-混合二级,2013-07-30 00:00:00,1.15,0.0,119.24,1.01,6.35
183,嘉实丰益策略定期债券,债券型-混合一级,2013-07-30 00:00:00,15.21,0.0,115.1,0.07,1.21
184,工银添福债券A,债券型-混合二级,2013-10-31 00:00:00,0.411625,15.78,109.33,4.06,3.2
185,工银添福债券B,债券型-混合二级,2013-10-31 00:00:00,0.126435,15.78,109.33,4.06,3.2
186,华泰柏瑞季季红债券A,债券型-混合一级,2013-11-13 00:00:00,76.93,0.0,114.2,0.01,0.03
187,华泰柏瑞丰盛纯债债券A,债券型-长债,2013-09-02 00:00:00,9.94,0.0,134.08,0.08,0.07
188,华泰柏瑞丰盛纯债债券C,债券型-长债,2013-09-02 00:00:00,2.98,0.0,134.08,0.08,0.07
189,易方达丰华债券A,债券型-混合二级,2016-01-13 00:00:00,25.92,16.38,109.34,0.41,6.85
190,中银新回报灵活配置混合A,混合型-灵活,2013-09-10 00:00:00,14.09,9.53,124.05,4.24,1.47
191,富国信用债债券A/B,债券型-长债,2013-06-25 00:00:00,144.87,0.0,101.7,0.15,4.18
192,富国信用债债券C,债券型-长债,2013-06-25 00:00:00,17.65,0.0,101.7,0.15,4.18
194,银华信用四季红债券A,债券型-长债,2013-08-07 00:00:00,7.23,0.0,131.62,24.89,0.11
195,工银成长收益混合A,混合型-灵活,2013-06-26 00:00:00,0.661137,62.68,18.83,4.64,19.0
196,工银成长收益混合B,混合型-灵活,2013-06-26 00:00:00,0.553447,62.68,18.83,4.64,19.0
197,富国目标收益一年期纯债债券,债券型-长债,2013-06-27 00:00:00,20.87,0.0,121.53,2.25,0.02
198,天弘余额宝货币,货币型-普通货币,,,0.0,10.51,70.71,24.06
199,国泰量化策略收益混合A,混合型-偏股,2015-01-16 00:00:00,2.06,91.69,2.51,5.51,0.49
200,博时岁岁增利一年持有期债券A,债券型-中短债,2013-06-26 00:00:00,48.69,0.0,107.54,0.1,2.87
201,诺安泰鑫一年定期开放债券A,债券型-长债,2013-11-05 00:00:00,0.527462,0.0,104.61,0.68,0.0
203,国富日日收益货币A,货币型-普通货币,2013-07-24 00:00:00,67.31,0.0,62.44,25.91,19.71
204,国富日日收益货币B,货币型-普通货币,2013-07-24 00:00:00,4.47,0.0,62.44,25.91,19.71
205,易方达投资级信用债债券A,债券型-长债,2013-09-10 00:00:00,35.79,0.0,92.74,0.04,11.07
206,易方达投资级信用债债券C,债券型-长债,2013-09-10 00:00:00,12.3,0.0,92.74,0.04,11.07
207,建信双债增强债券A,债券型-混合一级,2013-07-25 00:00:00,0.123213,0.0,92.39,1.13,6.86
208,建信双债增强债券C,债券型-混合一级,2013-07-25 00:00:00,0.127356,0.0,92.39,1.13,6.86
209,中信保诚新兴产业混合A,混合型-偏股,2013-07-17 00:00:00,21.94,73.44,0.0,19.71,12.87
210,光大现金宝货币A,货币型-普通货币,2013-09-05 00:00:00,1.08,0.0,46.07,33.93,20.63
211,光大现金宝货币B,货币型-普通货币,2013-09-05 00:00:00,0.8646860000000001,0.0,46.07,33.93,20.63
212,泰信鑫益定期开放A,债券型-长债,2013-07-17 00:00:00,5.61,0.0,97.42,0.5,8.77
213,泰信鑫益定期开放C,债券型-长债,2013-07-17 00:00:00,0.133185,0.0,97.42,0.5,8.77
214,广发成长优选混合,混合型-灵活,2013-12-11 00:00:00,1.75,91.02,6.05,0.92,2.46
215,广发趋势优选灵活配置混合A,混合型-灵活,2013-09-11 00:00:00,11.12,17.88,78.15,0.54,4.21
216,华安黄金易ETF联接A,指数型-其他,2013-08-22 00:00:00,28.72,0.0,0.28,8.35,93.82
217,华安黄金易ETF联接C,指数型-其他,2013-08-22 00:00:00,82.1,0.0,0.28,8.35,93.82
218,国泰黄金ETF联接A,指数型-其他,2016-04-13 00:00:00,25.37,0.0,0.0,6.33,97.3
219,博时裕益混合,混合型-灵活,2013-07-29 00:00:00,1.14,58.0,21.82,10.81,11.94
220,富国医疗保健行业混合A,混合型-偏股,2013-08-07 00:00:00,10.48,94.4,0.0,5.69,0.21
221,汇添富年年利定期开放债券A,债券型-混合一级,2013-09-06 00:00:00,19.82,0.0,84.22,0.29,16.29
222,汇添富年年利定期开放债券C,债券型-混合一级,2013-09-06 00:00:00,0.1100579999999999,0.0,84.22,0.29,16.29
227,华安年年红债券A,债券型-混合一级,2013-11-14 00:00:00,1.26,0.0,74.43,0.39,25.31
235,诺安稳固收益一年定期开放债券A,债券型-长债,2013-08-21 00:00:00,0.539219,0.0,152.02,0.9,0.07
236,工银月月薪定期支付债券A,债券型-混合二级,2013-08-14 00:00:00,2.21,20.0,81.38,1.07,1.18
239,华安年年盈定开债A,债券型-混合一级,2015-02-03 00:00:00,0.5174479999999999,0.0,55.6,3.55,41.36
240,华安年年盈定开债C,债券型-混合一级,2015-02-03 00:00:00,0.0492779999999999,0.0,55.6,3.55,41.36
241,宝盈核心优势混合C,混合型-灵活,2013-08-01 00:00:00,0.146587,40.6,16.38,34.74,9.15
242,景顺长城策略精选灵活配置混合A,混合型-灵活,2013-08-07 00:00:00,42.03,91.23,4.56,3.88,0.99
244,天弘稳利定期开放A,债券型-混合一级,2013-07-19 00:00:00,10.82,0.0,177.3,3.67,0.02
245,天弘稳利定期开放B,债券型-混合一级,2013-07-19 00:00:00,0.118422,0.0,177.3,3.67,0.02
248,汇添富中证主要消费ETF联接A,指数型-股票,2015-03-24 00:00:00,42.44,0.1,0.11,5.0,96.61
251,工银金融地产混合A,混合型-偏股,2013-08-26 00:00:00,24.54,92.84,4.85,3.06,0.37
252,景顺长城景兴信用纯债债券A,债券型-长债,2013-08-26 00:00:00,36.68,0.0,124.35,0.03,0.23
253,景顺长城景兴信用纯债债券C,债券型-长债,2013-08-26 00:00:00,0.571588,0.0,124.35,0.03,0.23
254,长城增强收益定期开放债券A,债券型-混合一级,2013-09-06 00:00:00,0.907217,0.0,105.67,5.88,0.0
255,长城增强收益定期开放债券C,债券型-混合一级,2013-09-06 00:00:00,0.4523029999999999,0.0,105.67,5.88,0.0
259,农银区间收益混合,混合型-灵活,2013-08-21 00:00:00,3.81,83.91,9.32,6.98,0.09
263,工银信息产业混合A,混合型-偏股,2013-11-11 00:00:00,9.82,81.5,6.15,12.51,0.1
264,博时内需增长混合A,混合型-灵活,2013-07-15 00:00:00,1.51,79.73,19.59,2.05,0.1
265,易方达恒久添利1年定开债A,债券型-长债,2014-09-10 00:00:00,15.76,0.0,109.71,0.51,0.43
266,易方达恒久添利1年定开债C,债券型-长债,2014-09-10 00:00:00,4.48,0.0,109.71,0.51,0.43
267,广发集利一年定开债A,债券型-长债,2013-08-21 00:00:00,2.78,0.0,175.68,1.11,0.0
268,广发集利一年定开债C,债券型-长债,2013-08-21 00:00:00,0.73112,0.0,175.68,1.11,0.0
270,建信灵活配置混合A,混合型-灵活,2013-09-03 00:00:00,0.427058,89.84,0.0,7.02,4.86
271,中邮定开债券A,债券型-长债,2013-11-05 00:00:00,5.19,0.0,127.56,0.68,0.0
272,中邮定开债券C,债券型-长债,2013-11-05 00:00:00,0.218144,0.0,127.56,0.68,0.0
273,华润元大安鑫灵活配置混合A,混合型-灵活,2013-09-11 00:00:00,0.06737,87.46,2.96,7.39,5.69
274,广发亚太中高收益债(QDII)A,QDII-纯债,2013-11-28 00:00:00,0.753552,0.0,90.34,16.91,4.08
275,广发亚太中高收益债美元现汇(QDII)A,QDII-纯债,2013-11-28 00:00:00,0.753552,0.0,90.34,16.91,4.08
277,博时双月薪定期支付债券,债券型-长债,2013-10-22 00:00:00,3.65,0.0,121.17,0.94,0.0
279,华商红利优选混合,混合型-灵活,2013-09-17 00:00:00,2.31,67.93,13.84,18.54,0.11
286,银华信用季季红债券A,债券型-混合一级,2013-09-18 00:00:00,17.95,0.0,134.2,2.33,0.73
289,鹏华丰泰定开债A,债券型-混合一级,2013-09-24 00:00:00,5.38,0.0,108.26,13.0,0.0
290,鹏华全球高收益债(QDII),QDII-纯债,2013-10-22 00:00:00,5.97,0.0,92.15,9.9,12.38
294,华安生态优先混合A,混合型-偏股,2013-11-28 00:00:00,15.99,82.21,0.0,12.87,5.82
295,鹏华丰实定期开放债券A,债券型-混合一级,2013-09-10 00:00:00,19.79,0.0,116.92,0.77,0.0
296,鹏华丰实定期开放债券B,债券型-混合一级,2013-09-10 00:00:00,0.046237,0.0,116.92,0.77,0.0
297,鹏华可转债债券A,债券型-混合二级,2015-02-03 00:00:00,38.68,19.85,86.39,3.83,2.54
298,中海纯债债券A,债券型-长债,2014-04-23 00:00:00,6.83,0.0,92.92,0.94,13.48
299,中海纯债债券C,债券型-长债,2014-04-23 00:00:00,0.073571,0.0,92.92,0.94,13.48
300,德邦德利货币A,货币型-普通货币,2013-09-16 00:00:00,23.67,0.0,73.25,1.39,34.99
301,德邦德利货币B,货币型-普通货币,2013-09-16 00:00:00,7.71,0.0,73.25,1.39,34.99
305,中银中高等级债券A,债券型-长债,2013-12-05 00:00:00,27.73,0.0,110.12,3.53,4.21
306,天弘弘利债券A,债券型-混合二级,2013-09-11 00:00:00,31.15,0.0,94.54,13.2,5.47
307,易方达黄金ETF联接A,指数型-其他,2016-05-26 00:00:00,19.58,0.0,1.99,5.23,94.66
308,建信创新中国混合,混合型-偏股,2013-09-24 00:00:00,7.39,90.82,0.0,9.39,0.02
309,大摩品质生活精选股票A,股票型,2013-10-29 00:00:00,2.84,93.31,0.0,5.55,1.48
310,安信永利信用A,债券型-混合一级,2013-11-08 00:00:00,0.387563,0.0,126.9,3.5,0.02
311,景顺长城沪深300指数增强A,指数型-股票,2013-10-29 00:00:00,48.64,91.51,2.51,4.49,1.94
312,华安沪深300增强A,指数型-股票,2013-09-27 00:00:00,6.01,93.65,0.54,4.9,1.79
313,华安沪深300增强C,指数型-股票,2013-09-27 00:00:00,3.92,93.65,0.54,4.9,1.79
314,招商瑞丰灵活配置混合发起式A,混合型-灵活,2013-11-06 00:00:00,1.22,94.5,6.2,0.66,0.12
319,宏利淘利债券A,债券型-混合一级,2014-08-06 00:00:00,17.8,0.0,122.37,0.45,0.29
320,宏利淘利债券C,债券型-混合一级,2014-08-06 00:00:00,3.16,0.0,122.37,0.45,0.29
322,农银汇理金汇债券A,债券型-长债,2013-12-18 00:00:00,6.7,0.0,102.66,0.35,4.07
324,华润元大现金收益货币A,货币型-普通货币,2013-10-29 00:00:00,0.129424,0.0,0.0,100.14,0.0
325,华润元大现金收益货币B,货币型-普通货币,2013-10-29 00:00:00,0.1,0.0,0.0,100.14,0.0
326,南方中小盘成长股票A,股票型,2015-10-28 00:00:00,4.62,86.87,5.2,3.2,7.15
327,南方潜力新蓝筹混合A,混合型-偏股,2015-05-29 00:00:00,10.29,92.39,4.19,4.55,0.05
328,摩根转型动力混合A,混合型-灵活,2013-11-25 00:00:00,1.62,83.74,0.0,16.64,0.04
329,鹏华丰饶定开债,债券型-混合一级,2016-08-24 00:00:00,12.15,0.0,117.92,2.29,4.93
330,汇添富现金宝货币A,货币型-普通货币,,,0.0,31.67,54.59,23.08
331,中加货币A,货币型-普通货币,2013-10-21 00:00:00,8.67,0.0,47.2,13.41,39.43
332,中加货币C,货币型-普通货币,2013-10-21 00:00:00,97.02,0.0,47.2,13.41,39.43
333,长城稳固收益债券A,债券型-混合二级,2015-01-28 00:00:00,0.088171,0.0,101.29,0.6,0.78
334,长城稳固收益债券C,债券型-混合二级,2015-01-28 00:00:00,0.084614,0.0,101.29,0.6,0.78
335,安信永利信用C,债券型-混合一级,2013-11-08 00:00:00,0.291012,0.0,126.9,3.5,0.02
336,农银研究精选混合,混合型-灵活,2013-11-05 00:00:00,25.76,77.25,0.0,15.69,8.88
338,鹏华双债保利债券B,债券型-混合二级,2013-09-18 00:00:00,34.17,23.38,97.65,1.96,0.01
339,长城医疗保健混合A,混合型-偏股,2014-02-28 00:00:00,4.65,92.33,0.13,8.33,0.14
341,嘉实新兴市场C2(QDII),QDII-纯债,2013-11-26 00:00:00,0.599788,0.0,101.5,1.71,0.74
342,嘉实新兴市场A1(QDII),QDII-纯债,2013-11-26 00:00:00,21.91,0.0,101.5,1.71,0.74
343,华夏财富宝货币A,货币型-普通货币,2013-10-25 00:00:00,1926.23,0.0,20.18,44.19,40.03
345,鹏华丰融定开债,债券型-混合一级,2013-11-19 00:00:00,7.57,0.0,112.7,1.31,1.32
346,建信安心回报6个月定开A,债券型-长债,2013-11-05 00:00:00,10.12,0.0,51.78,43.93,4.37
347,建信安心回报6个月定开C,债券型-长债,2013-11-05 00:00:00,0.2610159999999999,0.0,51.78,43.93,4.37
351,国富恒丰一年持有期债券A,债券型-长债,2013-11-20 00:00:00,1.6,0.0,86.77,5.92,27.57
352,国富恒丰一年持有期债券C,债券型-长债,2013-11-20 00:00:00,0.1990859999999999,0.0,86.77,5.92,27.57
354,长盛城镇化主题混合A,混合型-偏股,2013-11-12 00:00:00,0.541884,94.62,0.0,6.62,4.32
355,南方丰元信用增强债券A,债券型-混合一级,2013-11-12 00:00:00,6.65,0.0,132.81,0.11,0.02
356,南方丰元信用增强债券C,债券型-混合一级,2013-11-12 00:00:00,2.67,0.0,132.81,0.11,0.02
359,易方达易理财货币A,货币型-普通货币,,,0.0,24.75,43.81,42.76
362,国泰聚信价值优势混合A,混合型-灵活,2013-12-17 00:00:00,15.02,89.87,5.36,0.91,4.22
363,国泰聚信价值优势混合C,混合型-灵活,2013-12-17 00:00:00,8.57,89.87,5.36,0.91,4.22
366,汇添富添富通货币A,货币型-普通货币,2013-12-10 00:00:00,298.63,0.0,33.11,54.14,21.08
367,国泰安康定期支付混合A,混合型-偏债,2014-04-30 00:00:00,1.01,24.11,82.03,2.3,4.36
368,汇添富沪深300安中指数A,指数型-股票,2013-11-06 00:00:00,38.56,94.08,1.12,4.47,4.94
369,广发全球医疗保健指数人民币(QDII)A,指数型-海外股票,2013-12-10 00:00:00,10.36,84.94,0.0,10.1,6.65
370,广发全球医疗保健美元现汇(QDII)A,指数型-海外股票,2013-12-10 00:00:00,10.36,84.94,0.0,10.1,6.65
371,民生加银现金宝货币A,货币型-普通货币,,,0.0,79.04,31.67,9.69
372,中银惠利半年定期开放债券A,债券型-长债,2013-11-07 00:00:00,31.16,0.0,123.52,1.03,0.24
373,华安中证细分医药ETF联接A,指数型-股票,2014-11-28 00:00:00,0.405671,0.0,0.0,5.46,95.6
